Site,Stratum,Genus,Species,LifeForm,LeafHabit,LL,nLL,Aarea,Amass,Rarea,Rmass,Narea,Nmass,Parea,Pmass,LMA,LT,LD,CellPerVol
PNM,canopy,Forsteronia,spicata,liana,evergreen,107,110,17.5,0.1729,1.4944,0.01476,2.897,0.0286,0.166,0.00164,101.22,NA,NA,NA
PNM,canopy,Gouania,lupuloides,liana,evergreen,92,119,9.495,0.2565,0.4846,0.01309,1.257,0.034,0.066,0.00179,37.02,0.19,0.19484232,0.027
PNM,canopy,Guazuma,ulmifolia,tree,deciduous,201,164,19.375,0.3405,1.055,0.01854,1.304,0.0229,0.086,0.00152,56.9,NA,NA,NA
PNM,understory,Guazuma,ulmifolia,tree,deciduous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA
PNM,canopy,Jacquemontia,perryana,vine,NA,81,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA
PNM,canopy,Luehea,seemannii,tree,deciduous,186,5098,15.458,0.1564,3.585,0.03628,1.742,0.0176,0.153,0.00154,98.83,0.2275,0.434399676,0.069
PNM,understory,Luehea,seemannii,tree,deciduous,180,995,3.765,0.1481,0.1118,0.0044,0.574,0.0226,0.057,0.00225,25.42,0.13,0.195540423,0.033
PNM,canopy,Machaerium,riparium,liana,evergreen,180,23,12.45,0.3086,1.0315,0.02557,1.792,0.0444,0.108,0.00269,40.34,NA,NA,NA
PNM,canopy,Mikania,leiostachya,vine,evergreen,213,74,14.6,0.1852,0.212,0.00269,1.484,0.0188,0.105,0.00133,78.82,0.37,0.213038376,0.046
PNM,understory,Mikania,leiostachya,vine,evergreen,256.5,30,2.712,NA,0.3007,NA,NA,NA,NA,NA,NA,0.29,NA,NA
PNM,canopy,Nectandra,cuspidata,tree,evergreen,252,161,18.5,0.2103,0.848,0.00964,2.128,0.0242,0.111,0.00126,87.95,0.18125,0.485245775,0.085
PNM,canopy,Pachyptera,kerere,liana,evergreen,372,6,14.95,0.2225,0.2824,0.0042,2.359,0.0351,0.099,0.00147,67.18,0.25,0.268736357,NA
PNM,canopy,Passiflora,vitifolia,vine,evergreen,61,25,6.305,0.1434,1.1785,0.0268,1.502,0.0342,0.086,0.00195,43.98,0.17,0.258679276,0.028
PNM,canopy,Philodendron,unidentified,NA,evergreen,90.5,68,11.018,0.2776,0.164,0.00413,1.114,0.0281,0.103,0.00259,39.69,0.27,0.146986953,0.014
PNM,understory,Philodendron,unidentified,NA,evergreen,150,9,2.558,0.133,0.056,0.00291,0.513,0.0266,0.042,0.00216,19.24,NA,NA,NA
PNM,canopy,Phryganocydi,corymbosa,liana,evergreen,89,78,10.843,0.197,2.99,0.05431,1.48,0.0269,0.082,0.00149,55.05,0.31,0.177580761,NA
PNM,understory,Phryganocydi,corymbosa,liana,evergreen,183,54,2.695,0.0634,1.3525,0.03181,0.925,0.0218,0.053,0.00124,42.51,NA,NA,NA
PNM,canopy,Piper,reticulatum,treelet,evergreen,241,77,8.973,0.1496,0.6045,0.01008,1.588,0.0265,0.153,0.00256,59.99,0.16,0.374957002,0.059
PNM,understory,Piper,reticulatum,treelet,evergreen,289,40,6.025,0.2015,0.1865,0.00624,1,0.0335,0.074,0.00247,29.9,0.14,0.213565853,0.039
PNM,canopy,Pithecocteni,crucigerum,liana,evergreen,253,33,10.02,0.1839,1.065,0.01954,1.728,0.0317,0.078,0.00143,54.5,NA,NA,NA
PNM,canopy,Securidaca,diversifolia,liana,deciduous,333,14,15.95,0.2503,0.925,0.01451,1.783,0.028,0.08,0.00126,63.73,0.15,0.424864885,NA
PNM,canopy,Serjania,atrolineata,liana,evergreen,245,16,13.825,0.2829,2.245,0.04595,1.145,0.0234,0.081,0.00165,48.86,0.28,0.174503724,NA
PNM,canopy,Serjania,cornigera,liana,evergreen,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA
PNM,canopy,Serjania,mexicana,liana,evergreen,NA,NA,NA,NA,NA,NA,1.275,0.0182,0.105,0.00149,70.25,0.24,0.292701359,NA
PNM,understory,Serjania,mexicana,liana,evergreen,309,44,3.173,0.0887,0.321,0.00897,0.666,0.0186,0.06,0.00167,35.77,0.15,0.23847001,0.031
PNM,canopy,Serjania,pluvialiflor,liana,evergreen,49,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA
PNM,canopy,Spondias,mombin,tree,deciduous,173,18,12.9,0.1528,0.9575,0.01135,1.379,0.0163,0.113,0.00134,84.4,0.231667,0.364301657,NA
PNM,understory,Spondias,mombin,tree,deciduous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2075,NA,NA
PNM,canopy,Stigmaphyllu,hypagyreum,vine,evergreen,150,18,11.273,0.1898,1.0995,0.01851,0.943,0.0159,0.082,0.00138,59.39,0.21,0.282818068,NA
PNM,canopy,Stizophyllum,riparium,liana,evergreen,199,51,4.305,0.1029,1.67,0.03991,1.212,0.029,0.092,0.0022,41.84,0.15,0.278955142,0.052
PNM,canopy,Trichostigma,octandrum,liana,evergreen,123,99,9.363,0.2281,1.815,0.04422,1.689,0.0411,0.13,0.00316,41.05,0.22,0.186580252,0.014
PNM,canopy,Tynnanthus,croatianus,liana,evergreen,162,157,10.863,0.1598,1.49,0.02192,1.779,0.0262,0.085,0.00125,67.98,0.23,0.29556703,0.024
PNM,canopy,Unknown1,Unknown1,liana,NA,NA,NA,4.908,NA,0.3285,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Unknown2,Unknown2,NA,NA,119,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Unknown3,Unknown3,liana,NA,241,20,8.222,NA,3.4989,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNM,canopy,Urera,caracasana,tree,deciduous,90,497,12.45,0.2507,2.035,0.04097,1.432,0.0288,0.139,0.0028,49.67,0.41,0.121134604,NA
PNM,canopy,Vitis,tillifolia,liana,evergreen,96,111,10.27,0.1628,0.91,0.01442,1.32,0.0209,0.084,0.00133,63.09,0.24,0.262875701,NA
SL,canopy,Abuta,panamensis,liana,evergreen,NA,70,8.835,0.1532,0.7345,0.01274,1.413,0.0245,0.053,0.00092,57.67,0.28,0.205952451,NA
SL,canopy,Adelobotrys,adscendens,liana,evergreen,126,64,5.788,0.0791,1.395,0.01907,1.132,0.0155,0.063,0.00086,73.15,0.32,0.228604532,NA
SL,canopy,Anemopaegna,santa-ritens,liana,evergreen,280.5,36,12.71,0.1529,0.514,0.00618,1.721,0.0207,0.119,0.00143,83.12,0.21,0.395799835,NA
SL,canopy,Anomospermum,reticulatum,liana,evergreen,268,3,10.39,0.1203,1.0485,0.01214,1.207,0.014,0.075,0.00087,86.35,0.26,0.33213223,NA
SL,canopy,Apeiba,membranaceae,tree,deciduous,220,112,20,0.2071,0.6845,0.00709,1.91,0.0198,0.107,0.0011,96.56,0.2325,0.415322638,0.065
SL,canopy,Arrabidaea,verrucosa,liana,evergreen,225,120,9.955,0.1353,0.199,0.0027,1.522,0.0207,0.062,0.00084,73.58,0.15,0.490515866,NA
SL,canopy,Aspidosperma,cruenta,tree,evergreen,337,144,12.85,0.0933,0.989,0.00718,2.159,0.0157,0.099,0.00072,137.77,0.36625,0.376155145,0.047
SL,understory,Aspidosperma,cruenta,tree,evergreen,1342,22,3.847,0.068,0.1195,0.00211,0.73,0.0129,0.042,0.00074,56.61,0.188333,0.300572862,0.062
SL,canopy,Brosimum,utile,tree,evergreen,324,66,14.05,0.1102,1.34,0.01051,1.686,0.0132,0.115,0.0009,127.44,0.3025,0.421283221,0.082
SL,understory,Brosimum,utile,tree,evergreen,1304,31,4.612,0.109,0.481,0.01137,0.585,0.0138,0.048,0.00114,42.3,0.24375,0.17352095,0.039
SL,canopy,Calophyllum,longifolium,tree,evergreen,502,102,13.325,0.0699,0.6925,0.00363,1.925,0.0101,0.095,0.0005,190.57,0.44375,0.429446231,0.088
SL,understory,Calophyllum,longifolium,tree,evergreen,1050,34,3.138,0.0665,0.3635,0.0077,0.52,0.011,0.026,0.00054,47.19,0.285,0.16557738,0.042
SL,canopy,Carapa,guianensis,tree,evergreen,690,88,4.053,0.0316,0.779,0.00607,1.871,0.0146,0.135,0.00106,128.4,0.2875,0.446618622,0.057
SL,canopy,Cassipourea,elliptica,treelet,evergreen,272,150,15.35,0.1318,0.4655,0.004,2.38,0.0204,0.122,0.00105,116.49,0.3375,0.345160379,NA
SL,canopy,Cayaponia,granatensis,vine,evergreen,525,8,8.21,0.0855,1.75,0.01821,2.194,0.0228,0.139,0.00145,96.08,0.24,0.400330333,NA
SL,canopy,Cecropia,insignis,tree,evergreen,231,82,14.575,0.1799,0.492,0.00607,1.764,0.0218,0.095,0.00118,81.04,0.28375,0.285586341,0.051
SL,understory,Cecropia,insignis,tree,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA
SL,canopy,Cespedezia,macrophylla,tree,evergreen,309,76,15.275,0.209,1.19,0.01628,1.162,0.0159,0.072,0.00098,73.08,0.21,0.348000095,0.083
SL,understory,Cespedezia,macrophylla,tree,evergreen,971,65,2.134,0.0482,0.0507,0.00114,0.527,0.0119,0.033,0.00075,44.29,NA,NA,NA
SL,canopy,Chrysophyllu,argenteum,tree,evergreen,371,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA
SL,understory,Chrysophyllu,argenteum,tree,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA
SL,canopy,Cissus,unidentified,vine,evergreen,153,24,4.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Clusia,valerioi,hemiepiphyte,evergreen,421,156,11.48,0.0763,1.285,0.00854,1.535,0.0102,0.099,0.00066,150.38,0.41625,0.361275933,0.04
SL,canopy,Coccoloba,parimensis,liana,evergreen,445,39,12.9,0.163,1.076,0.0136,1.659,0.021,0.075,0.00095,79.13,0.155,0.510507503,0.087
SL,understory,Coccoloba,parimensis,liana,evergreen,627.5,14,5.951,0.1141,NA,NA,1.071,0.0205,0.054,0.00103,52.17,NA,NA,NA
SL,canopy,Codonanthe,uleana,epiphyte,evergreen,325,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Cordia,bicolor,tree,evergreen,289,16,22.1,0.21,0.5155,0.0049,1.939,0.0184,0.098,0.00093,105.24,0.27,0.389775041,NA
SL,understory,Cordia,bicolor,tree,evergreen,318,156,2.997,0.0773,0.6455,0.01664,0.896,0.0231,0.056,0.00143,38.78,NA,NA,NA
SL,canopy,Cosmibuena,skinneri,hemiepiphyte,NA,119.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Cymbosema,roseum,vine,deciduous,101,67,5.97,0.1102,0.917,0.01693,1.122,0.0207,0.068,0.00125,54.17,0.27,0.200639042,NA
SL,canopy,Davilla,nitida,liana,evergreen,354.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA
SL,canopy,Dendropanax,arboreus,tree,evergreen,353,93,5.687,NA,0.9692,NA,NA,NA,NA,NA,NA,0.3225,NA,NA
SL,understory,Dendropanax,arboreus,tree,evergreen,1246.5,76,3.142,0.0907,0.3025,0.00874,0.587,0.0169,0.025,0.00072,34.63,0.2225,0.155638355,0.032
SL,canopy,Dioclea,wilsonii,liana,evergreen,169,137,12.875,0.2073,1.95,0.03139,1.627,0.0262,0.096,0.00155,62.12,0.19,0.326947441,0.041
SL,canopy,Doliocarpus,dentatus,liana,evergreen,274.5,286,9.403,0.0902,0.1617,0.00155,1.385,0.0133,0.072,0.00069,104.28,0.345,0.302256854,NA
SL,understory,Doliocarpus,dentatus,liana,evergreen,470.5,52,3.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Doliocarpus,multiflorus,liana,evergreen,299,81,16.1,NA,1.5889,NA,NA,NA,NA,NA,NA,0.3325,NA,NA
SL,understory,Doliocarpus,multiflorus,liana,evergreen,748,38,1.927,0.047,0.1788,0.00437,0.497,0.0121,0.035,0.00085,40.97,0.18,0.22760112,NA
SL,canopy,Dussia,munda,tree,evergreen,340,35,17.383,0.1766,1.65,0.01677,2.111,0.0215,0.104,0.00105,98.41,0.291667,0.337398787,0.06
SL,canopy,Ficus,citrifolia,hemiepiphyte,evergreen,246,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Ficus,nymphiifolia,tree,evergreen,233.5,16,18.675,0.1939,0.2025,0.0021,1.493,0.0155,0.094,0.00097,96.32,0.2475,0.389180548,NA
SL,canopy,Ficus,paraensis,hemiepiphyte,evergreen,245,69,24.6,0.2713,0.679,0.00749,1.792,0.0198,0.12,0.00132,90.66,0.2,0.453319947,0.072
SL,canopy,Forsteronia,myriantha,liana,evergreen,218,41,13.825,0.1503,1.405,0.01528,1.882,0.0205,0.105,0.00114,91.97,NA,NA,NA
SL,canopy,Forsteronia,viridescens,liana,evergreen,305,39,11.642,0.0808,1.19,0.00826,2.236,0.0155,0.115,0.0008,144.15,0.32,0.450465732,0.059
SL,canopy,Garcinia,madruno,tree,evergreen,443,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
