Site,Stratum,Genus,Species,LifeForm,LeafHabit,LL,nLL,Aarea,Amass,Rarea,Rmass,Narea,Nmass,Parea,Pmass,LMA,LT,LD,CellPerVol
SL,understory,Poulsenia,armata,tree,evergreen,826,58,6.543,0.1679,0.7305,0.01874,0.538,0.0138,0.057,0.00147,38.97,0.191667,0.203340829,0.052
SL,canopy,Pouruma,bicolor,tree,evergreen,254,57,22.46,0.1948,0.9105,0.0079,2.197,0.0191,0.104,0.0009,115.3,0.43,0.268146517,0.061
SL,understory,Pouruma,bicolor,tree,evergreen,393.5,78,5.12,0.1729,0.17,0.00574,0.572,0.0193,0.024,0.00081,29.6,0.27,0.109646426,0.027
SL,canopy,Pouteria,unilocularis,tree,evergreen,498,206,10.34,NA,1.0851,NA,NA,NA,NA,NA,NA,0.1925,NA,NA
SL,canopy,Protium,panamense,tree,evergreen,844,64,9.603,0.0874,0.8835,0.00804,1.542,0.014,0.1,0.00091,109.85,0.3025,0.363145346,0.069
SL,understory,Protium,panamense,tree,evergreen,1089,27,3.563,0.0992,0.482,0.01342,0.642,0.0179,0.043,0.00119,35.92,0.135,0.266095542,0.064
SL,canopy,Psiguria,bignoniaceae,vine,NA,140.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445,NA,NA
SL,understory,Psychotria,suerrensis,treelet,evergreen,945,141,5.75,0.1398,0.3007,0.00731,1.014,0.0247,0.033,0.00079,41.13,NA,NA,NA
SL,canopy,Sabiceae,panamensis,liana,evergreen,190,43,5.023,0.1007,0.797,0.01598,0.595,0.0119,0.04,0.0008,49.87,0.2,0.24933009,NA
SL,canopy,Sapium,eglandulosum,tree,deciduous,176,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA
SL,canopy,Simarouba,amara,treelet,evergreen,253,64,14.375,0.0743,1.035,0.00535,2.166,0.0112,0.11,0.00057,193.37,0.3875,0.499027114,0.075
SL,understory,Simarouba,amara,treelet,evergreen,499.5,88,NA,NA,NA,NA,0.744,0.0194,0.031,0.0008,38.39,NA,NA,NA
SL,canopy,Socratea,exorrhiza,tree,evergreen,547,21,8.162,NA,0.4917,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,understory,Socratea,exorrhiza,tree,evergreen,938,23,2.218,0.042,0.0671,0.00127,0.86,0.0163,0.043,0.00082,52.75,NA,NA,NA
SL,canopy,Symphonia,globulifera,tree,evergreen,230,87,7.015,0.0845,0.4196,0.00505,1.294,0.0156,0.07,0.00084,83.05,0.385,0.215726201,0.022
SL,understory,Symphonia,globulifera,tree,evergreen,1001,129,2.175,0.043,0.2105,0.00416,0.677,0.0134,0.034,0.00067,50.55,0.205,0.246589438,0.045
SL,canopy,Tachigalia,versicolor,tree,evergreen,285,27,15.525,0.1632,0.716,0.00753,2.58,0.0271,0.088,0.00092,95.11,0.205,0.463975066,0.079
SL,understory,Tachigalia,versicolor,tree,evergreen,782,62,5.372,0.1606,0.1009,0.00302,0.914,0.0273,0.031,0.00093,33.44,0.1425,0.234657967,0.046
SL,canopy,Tapirira,guianensis,tree,evergreen,322,103,13.8,0.1278,0.353,0.00327,1.502,0.0139,0.083,0.00076,107.96,0.20625,0.523436993,0.03
SL,understory,Tapirira,guianensis,tree,evergreen,806,31,5.615,0.1226,NA,NA,0.675,0.0147,0.044,0.00095,45.8,NA,NA,NA
SL,canopy,Terminalia,amazonica,tree,evergreen,160,183,14.867,NA,1.1061,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,understory,Terminalia,amazonica,tree,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA
SL,canopy,Tetracera,hydrophila,liana,evergreen,643,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA
SL,canopy,Tocoyena,pittieri,treelet,evergreen,214,124,7.34,0.0855,0.6475,0.00754,1.711,0.0199,0.089,0.00104,85.89,0.2125,0.404196073,0.02
SL,understory,Tocoyena,pittieri,treelet,evergreen,329,24,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Tontelea,ovalifolia,liana,evergreen,544.5,82,16.9,0.1701,1.2805,0.01289,1.659,0.0167,0.096,0.00097,99.33,0.30375,0.327020723,0.038
SL,understory,Tontelea,ovalifolia,liana,evergreen,856,31,3.796,0.0739,0.0808,0.00157,0.635,0.0124,0.04,0.00077,51.39,NA,NA,NA
SL,canopy,Tovomita,longifolia,treelet,evergreen,127,118,8.383,0.0738,1.226,0.01079,1.673,0.0147,0.09,0.00079,113.61,0.37,0.307049345,0.03
SL,understory,Tovomita,longifolia,treelet,evergreen,835.5,48,4.45,0.0955,NA,NA,0.655,0.0141,0.034,0.00073,46.61,0.2525,0.184582955,NA
SL,canopy,Trattinnicki,aspera,tree,deciduous,34,1,7.888,0.0836,1.39,0.01473,1.549,0.0164,0.065,0.00068,94.39,0.291667,0.323625486,NA
SL,understory,Trattinnicki,aspera,tree,deciduous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA
SL,canopy,Trichospermu,galeottii,treelet,evergreen,42,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA
SL,canopy,Unknown4,Unknown4,NA,NA,91,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Unknown5,Unknown5,liana,NA,253.5,90,11.325,0.271,1.0415,0.02492,1.798,0.043,0.079,0.00188,41.79,NA,NA,NA
SL,canopy,Vantanea,depleta,tree,evergreen,NA,NA,11.9,0.0638,1.0355,0.00555,1.578,0.0085,0.073,0.00039,186.49,0.3325,0.560857914,NA
SL,canopy,Virola,elongata,tree,evergreen,548,154,NA,NA,NA,NA,1.498,0.0191,0.068,0.00087,78.64,0.19875,0.395684039,NA
SL,understory,Virola,elongata,tree,evergreen,1329.5,20,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Virola,multiflora,tree,evergreen,523,125,13.35,0.0994,0.326,0.00243,2.106,0.0157,0.136,0.00101,134.32,0.3125,0.429830303,0.055
SL,understory,Virola,multiflora,tree,evergreen,1217,140,3.663,NA,0.1255,NA,NA,NA,NA,NA,NA,0.285,NA,NA
SL,canopy,Virola,sebifera,tree,evergreen,463.5,92,14.1,0.1659,NA,NA,1.783,0.021,0.086,0.00102,85.01,0.3425,0.24821399,NA
SL,understory,Virola,sebifera,tree,evergreen,943,89,2.6,0.0731,0.0348,0.00098,0.665,0.0187,0.03,0.00084,35.59,0.145,0.245461671,0.039
SL,canopy,Virola,surinamensis,tree,evergreen,355,90,7.864,0.0868,1.408,0.01553,1.479,0.0163,0.109,0.0012,90.64,0.3625,0.250030637,0.026
SL,understory,Virola,surinamensis,tree,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA
SL,canopy,Vochysia,ferruginea,tree,evergreen,215,134,17.9,0.1554,0.8,0.00694,1.775,0.0154,0.103,0.00089,115.21,0.335,0.34390153,0.047
