"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"beta[1]",0.390000739206345,0.0169612838489225,0.226289036870777,-0.0853600981832806,0.238175768489988,0.404801864539945,0.553005005500711,0.801029209771335,177.995729855506,1.01666450449596
"beta[2]",0.559371607546504,0.00458196249555682,0.0591443976453848,0.451203106829107,0.518177506598277,0.556375910198654,0.599191941946647,0.681279043423798,166.618862813224,1.01808639045526
"beta[3]",1.81635801131216,0.00972875736721865,0.23245409949467,1.36972836247658,1.66087753832863,1.81948393810551,1.96765356203326,2.2713065968294,570.899515842773,1.00540853844553
"beta[4]",-0.250824310284588,0.00521676132343153,0.125928817608295,-0.490558576909499,-0.334420248375325,-0.252501161444159,-0.166693143424138,-0.00302374868831778,582.704425508586,1.00477175819092
"beta[5]",-2.64916403306607,0.0149457138071473,0.407438387419401,-3.44375573617999,-2.9259849017721,-2.65385852633622,-2.38237331967493,-1.84753923998698,743.174098617601,1.00347308711114
"beta[6]",0.585412068586386,0.00291938174746015,0.0798943895116253,0.437017163764689,0.531010460941608,0.581485240961725,0.636660768231319,0.753211363613103,748.946487553811,1.00563606609483
"beta[7]",0.146332346565531,0.00377399623978123,0.0889475384529959,-0.0219346659270855,0.0865466636292566,0.144162532212265,0.201832767474168,0.329616703989235,555.475542110362,1.00076990885009
"log_site",-0.655144138952805,0.00260692851399347,0.105210311288588,-0.865150729640281,-0.723778386402001,-0.652372203666388,-0.585443952593899,-0.448303934473232,1628.76476810384,1.00046060629011
"q",0.364229577197241,0.00100593906020064,0.0491976684794596,0.291008640578936,0.329515567810425,0.35751658376488,0.390119310009537,0.481655640523915,2391.91476360258,1.00102019567184
"sigma[1]",0.232189626457659,0.00433494414725379,0.0492594195308914,0.13631507369392,0.199747442112356,0.232043358416191,0.264327820334436,0.333844344159241,129.125366486001,1.01501219736011
