"sp","DE","GF","LL","LMA","Aarea","Rarea","p_mid","LMAp","LMAs","p_rand","LMAp_rand","LMAs_rand","LL_rand","Aarea_rand","Rarea_rand","Narea","Parea"
"Abies lasiocarpa","E","T",95.4992586021436,257.039578276886,2.95120922666639,0.870963589956081,0.0236291166735152,6.07361818481568,250.96596009207,0.0236291166735152,129.433537708477,127.606040568409,19.4984459975805,13.8038426460288,1.44543977074593,2.61818300821899,NA
"Acacia colletioides","E","S",37.1535229097173,363.078054770101,8.51138038202377,1.99526231496888,0.309104056727767,112.228899638265,250.849155131836,0.309104056727767,177.274022805808,185.804031964293,12.0226443461741,16.9824365246174,1.20226443461741,4.1209751909733,0.110662378397767
"Acacia doratoxylon","E","S",19.9526231496888,218.776162394955,14.4543977074593,1.47910838816821,0.465818202992551,101.909918824424,116.866243570531,0.465818202992551,107.892733592512,110.883428802443,3.98107170553497,8.51138038202377,0.741310241300917,4.38530697774986,0.181551566277314
"Acacia floribunda","E","T",13.4896288259165,125.892541179417,10.9647819614319,1.25892541179417,0.418831669573872,52.7277832090726,73.1647579703444,0.418831669573872,66.2332482291844,59.6592929502326,30.3998818265947,10.2329299228075,3.09029543251359,2.89734358770132,0.0716143410212902
"Acacia havilandiorum","E","S",20.8929613085404,416.869383470335,12.0226443461741,3.23593656929628,0.685554604532961,285.786725326905,131.08265814343,0.685554604532961,198.954976632742,217.914406837593,14.7910838816821,8.12830516164099,0.776247116628692,3.82824743316823,0.120781383510678
"Acacia oswaldii","E","S",20.8929613085404,263.026799189538,13.1825673855641,1.41253754462275,0.442775548680819,116.461835328907,146.564963860631,0.442775548680819,131.187009171037,131.839790018501,11.461975519794,7.07945784384138,1.47910838816821,4.85288500162121,0.177010895831742
"Acacia suaveolens","E","S",29.5120922666639,218.776162394955,9.54992586021436,1.44543977074593,0.291246117666056,63.7177079354093,155.058454459546,0.291246117666056,109.679187135417,109.096975259538,17.3780082874938,10,1.73780082874938,4.21696503428582,0.0485288500162121
"Acacia willhelmiana","E","S",12.0226443461741,162.181009735893,8.12830516164099,1.81970085860998,0.530336436028289,86.0104986948027,76.1705110410903,0.530336436028289,78.0741977349417,84.1068120009513,40.7380277804113,10.471285480509,0.870963589956081,3.03389118419427,0.116949939101987
"Acer rubrum","D","T",5.37174167053699,61.6758465277276,7.10950672831674,0.767819238012599,0.364232550471566,22.4643508832871,39.2114956444405,0.364232550471566,31.6400184127517,30.0358281149759,8.7096358995608,16.5958690743756,1.94984459975805,NA,NA
"Acer saccharum","D","T",5.49540873857625,79.4328234724281,7.58577575029184,0.562341325190349,0.241097872650178,19.1510847577996,60.2817387146285,0.241097872650178,39.317025607497,40.1157978649311,28.8403150312661,16.1185959039243,1.28824955169313,NA,NA
"Achillea millefolium","U","H",1,85.1138038202376,13.8038426460288,1.25892541179417,0.945358322525592,80.4630428032721,4.65076101696548,0.945358322525592,44.1564562887107,40.9573475315269,56.2341325190349,10.9647819614319,3.23593656929628,1.58802248227812,NA
"Acomastylis rosii","U","H",1.99526231496888,83.1763771102671,10.7151930523761,1.73780082874938,0.880027923441853,73.1975344277648,9.97884268250226,0.880027923441853,40.3146802617602,42.8616968485069,23.4422881531992,15.4881661891248,1.51356124843621,2.09893988362352,NA
"Adenanthos cygnorum","E","S",39.8107170553497,234.422881531992,13.8038426460288,1.02329299228075,0.232556078629077,54.5164660700088,179.906415461983,0.232556078629077,96.593526018181,137.829355513811,10.7151930523761,10.7151930523761,0.316227766016838,1.83231442237121,NA
