sp,site,strata,SLA_LEAF,SLA_DISC,LIFETIME,Amass,Rmass,Amax,N_PCT,P_PCT,LT,LAMTUF,MDRBTUF,VEINTUF,LMA_LEAF,LMA,LL,Aarea,Aarea_DISC,Rarea,Rarea_DISC,sp_site_strata,Narea,Parea,LD,SampleID,Run,BagNo,%NPE,%WS,%AS,Lig,%Ash,%NDF,ADF,site2,cell_mass,cell_area,cell_vol
CAYG,PNSL,CAN,85.99670123,104.0807135,525,70.60329171,15.04942271,8.21,2.284,0.14497,0.24,0.7212000000000001,3.4757,5.8828000000000005,116.2835301467528,96.07927985620506,17.26027397260274,8.210000000019766,6.783513422974373,1.7499999993895117,1.445937696228418,CAYG_PNSL_CAN,0.2655915828551834,0.01685762336537475,0.4003303327341878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
CECI,PNSL,CAN,81.72130224,123.4032786,231,119.108798,4.02068807,14.575,2.177,0.1177,0.28375,0.576275,4.3508249999999995,2.66885,122.36711513274584,81.03512413486233,7.594520547945206,14.574999998188966,9.651996231484242,0.4919999999745477,0.32581695686001005,CECI_PNSL_CAN,0.2663932096439877,0.01440260945112418,0.28558634056339144,NA,2,25,59.64,6.97,17.17,15.48,0.74,40.36,33.39,WET,17.91,14.513390732553844,0.05114851359490341
CES1,PNSL,CAN,112.2480727,136.8363064,309,171.458931,13.35752065,15.275,1.59,0.09786,0.21,1.978375,12.7547,5.811775,89.0883893100465,73.08001993833413,10.158904109589042,15.2749999956124,12.530222096085458,1.1899999998841853,0.97616787542871,CES1_PNSL_CAN,0.14165053900297395,0.00871818977788115,0.3480000949444483,NA,2,29,50.73,4.96,23.79,20.42,0.1,49.27,44.31,WET,23.89,17.458816763268025,0.0831372226822287
CHRC,PNM,CAN,73.0393627,81.35756601,152.5,82.89967666,3.794394892,11.35,1.702,0.10115,0.31,1.0472,4.1958,5.38985,136.91247609968536,122.91419827838578,5.013698630136986,11.349999999383892,10.18954729420131,0.5194999999637182,0.4663850061017822,CHRC_PNM_CAN,0.2330250343216645,0.01384869695748317,0.3964974138012445,NA,2,30,55.41,6.62,13.8,24.04,0.13,44.59,37.96,DRY,13.920000000000002,17.1096564003513,0.05519244000113322
CHRC,PNM,UNDER,177.7428065,213.9304232,365,139.4984793,6.48583501,7.848333333,1.894,0.13376,0.2,0.7403,3.7549,5.252,56.26106730794757,46.74416967170287,12,7.848333333253631,6.520740585343732,0.3649000000458528,0.3031749721701107,CHRC_PNM_UNDER,0.1065584614812527,0.00752548036311106,0.2337208483585143,NA,2,31,53.69,12.26,15.83,16.95,1.26,46.31,34.05,DRY,17.099999999999998,7.993253013861191,0.03996626506930594
CLU?,PNSL,CAN,58.06658191,66.49771501,421,66.66043603,7.461555775,11.48,1.021,0.0661,0.41625,0.518875,5.061125,NA,172.21609523184006,150.38110705753107,13.841095890410958,11.479999999538462,10.024470167129133,1.284999999925086,1.1220770178160142,CLU?_PNSL_CAN,0.1758326332317087,0.01138348389482462,0.3612759328709455,NA,2,32,70.03,11.28,10.9,7.68,0.11,29.97,18.69,WET,11.010000000000002,16.55695988703417,0.0397764802090911
COCP,PNSL,CAN,108.4053756,126.3764562,445,139.8429345,11.66441841,12.9,2.097,0.09513,0.155,0.6929,3.674975,4.8904250000000005,92.24634797538585,79.12866289092857,14.63013698630137,12.89999999778609,11.065584421728705,1.0759999995793563,0.922989832183631,COCP_PNSL_CAN,0.19344059170438407,0.00877539508289845,0.5105075025221198,NA,2,33,55.41,8.25,16.95,19.27,0.12,44.59,36.34,WET,17.070000000000004,13.50726275548151,0.08714363068052587
CORA,PNM,CAN,105.7057487,118.2462252,175,222.510601,7.616099192,21.05,2.566,0.15607,0.243333,0.7111000000000001,2.076033333,3.1377666669999997,94.60223424915772,84.56929583237132,5.7534246575342465,21.049999998722875,18.81756484180774,0.720499999826405,0.6440881456569322,CORA_PNM_CAN,0.2427493330833387,0.01476457069926604,0.3475455274556732,NA,2,35,54.85,14.84,17.36,12.08,0.87,45.15,30.31,DRY,18.229999999999997,15.41698263024129,0.0633575496551692
CORA,PNM,UNDER,303.0459105,402.8590957,243,181.2719621,7.318558738,5.981666667,2.752,0.1433,0.125,0.200833333,0.9584,1.071666667,32.99830043408554,24.82257470847021,7.989041095890411,5.981666665651968,4.49963682177823,0.24149999998102595,0.18166547103233244,CORA_PNM_UNDER,0.0908113227946034,0.00472865645220445,0.19858059766776168,NA,2,36,47.56,10.25,21.67,17.26,3.26,52.44,42.19,DRY,24.929999999999996,6.188267874821623,0.04950614299857298
CORB,PNSL,CAN,85.08030934,95.02157189,289,188.0274836,4.385464545,22.1,1.842,0.093055,0.27,1.1967249999999998,4.509399999999999,4.8573,117.53600894935346,105.23926094988532,9.501369863013698,22.09999999513401,19.787873412330686,0.5154500000081922,0.4615230476377251,CORB_PNSL_CAN,0.2165013284847091,0.01093731331278208,0.3897750405551309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
CYMR,PNSL,CAN,140.6555915,184.5953645,101,83.97138811,12.89811774,5.97,2.071,0.1251,0.27,0.45,2.504,2.5284,71.09564499609672,54.17254126118644,3.3205479452054796,5.969999998898018,4.548943487148075,0.9169999999608974,0.6987238154617907,CYMR_PNSL_CAN,0.14723908078691633,0.0088940651890117,0.20063904170809793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
DENA,PNSL,UNDER,335.5635492,288.7708508,1246.5,105.4228817,10.15079736,3.141666667,1.694,0.07218,0.2225,0.432075,2.497975,4.352399999999999,29.800614589518116,34.629534013895004,40.98082191780822,3.1416666664580624,3.650745267672979,0.302499999901658,0.3515173824462756,DENA_PNSL_UNDER,0.05048224111464369,0.00215100836107141,0.15563835511862922,NA,2,38,56.1,11.63,20.67,11.53,0.07,43.9,32.27,WET,20.74,7.182165354481825,0.03227939485160371
DIOW,PNSL,CAN,197.6215408,160.9787148,169,254.4377337,38.53620045,12.875,2.619,0.1547,0.19,0.3452,2.2197,2.9152,50.60177124173095,62.12001389391139,5.556164383561644,12.874999995951857,15.805675552579329,1.9499999996963897,2.3938693073725545,DIOW_PNSL_CAN,0.13252603888209336,0.00782809401109577,0.32694744154690203,NA,2,40,54.56,9.23,12.06,23.54,0.62,45.44,36.21,WET,12.670000000000002,7.870605760358574,0.04142424084399249
DOL2,PNM,CAN,120.2180275,129.7101412,150.5,100.3519985,13.93326939,8.3475,1.422,0.0928,0.3325,0.868275,4.750725,3.535075,83.1821999408533,77.09497428255054,4.947945205479452,8.34750000369121,7.73663474356005,1.1590000002287508,1.0741850452938986,DOL2_PNM_CAN,0.11828508831589338,0.00771930815451118,0.23186458430842263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
DOL2,PNSL,UNDER,235.3774904,244.091749,748,45.34939648,4.209255661,1.926666667,1.214,0.08485,0.18,0.942875,1.883575,5.04755,42.48494613060077,40.968201674035285,24.59178082191781,1.9266666665080563,1.857883220788426,0.17883000000751134,0.1724456348174227,DOL2_PNSL_UNDER,0.05157672460254933,0.00360484767918147,0.22760112041130717,NA,2,42,51.07,14.25,16.66,17.9,0.12,48.93,34.68,WET,16.78,6.874464240903121,0.03819146800501734
DOLD,PNSL,CAN,89.96076187,95.89693966,274.5,84.58560635,1.454215716,9.4025,1.328,0.06865,0.345,0.4732,4.606875,4.403425,111.15957437589006,104.2786144735664,9.024657534246575,9.402500000192584,8.8204698345845,0.1616500000412902,0.1516436000101653,DOLD_PNSL_CAN,0.147619914771182,0.00763110478090485,0.3022568535465693,NA,2,43,56,4.97,13.72,25.13,0.18,44,39.03,WET,13.900000000000002,14.49472741182573,0.04201370264297313
DOLD,PNM,UNDER,220.3259944,289.9661438,259.5,86.88188379,3.489963751,3.943333333,1.532,0.10836,0.17,0.1986,3.0624,3.5781,45.387290896983686,34.48678479821891,8.531506849315068,3.9433333332546616,2.9962768291295943,0.15839999998656532,0.12035762883432186,DOLD_PNM_UNDER,0.06953332965417901,0.00491816684159715,0.20286343998952305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
DRSE,PNM,CAN,199.3770409,244.2187883,60,257.6948254,16.00000754,12.925,1.965,0.16717,0.45,0.1737,0.9094,1.7475,50.156226388251106,40.94689057139999,1.9726027397260273,12.925000001843244,10.551801816469828,0.8025000003899646,0.6551505578819546,DRSE_PNM_CAN,0.09855698485291343,0.00838461636532393,0.09099309015866663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA
DUSM,PNSL,CAN,97.29651999,101.6176596,340,169.1337839,16.0539258,17.38333333,2.145,0.1054,0.291667,0.435133333,3.843066667,4.482600000000001,102.77859887514772,98.40809205174808,11.178082191780822,17.383333331694015,16.644132975091665,1.6500000001695847,1.579836207918333,DUSM_PNSL_CAN,0.22046009458719185,0.01083286432144056,0.33739878715023663,NA,2,44,51.97,9.83,17.8,20.32,0.08,48.03,38.19,WET,17.869999999999997,17.585526049647378,0.06029316326374727
FIIN,PNM,CAN,77.29680051,71.08590706,92,211.0202654,18.89906772,27.3,2.114,0.17449,0.4,0.67855,6.59805,5.805524999999999,129.37146083693705,140.67485966746557,3.0246575342465754,27.300000000996164,29.68524622213634,2.4449999993926013,2.6586236993569288,FIIN_PNM_CAN,0.2734912682092849,0.02257402620143714,0.3516871491686639,NA,2,45,59.9,12.85,15.16,8.55,3.54,40.1,27.25,DRY,18.7,26.306198757816063,0.06576549689454016
FINY,PNSL,CAN,106.323181,103.8182423,233.5,198.5585405,2.153044415,18.675,1.55,0.09748,0.2475,0.523875,5.59455,4.92475,94.05286698485816,96.32218556641853,7.676712328767123,18.674999998354075,19.125592583838227,0.20249999997648677,0.20738594367437105,FINY_PNSL_CAN,0.14578194382653015,0.00916827347368397,0.3891805477431051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA
FIPA,PNSL,CAN,91.51877364,110.2973746,245,225.1361831,6.21412473,24.6,1.977,0.1324,0.2,0.4389,4.0146999999999995,6.3929,109.267198436642,90.66398938565489,8.054794520547945,24.599999994055867,20.411744514905255,0.6789999999829543,0.5633973385618555,FIPA_PNSL_CAN,0.2160212513092412,0.01446697707301139,0.4533199469282744,NA,2,46,60.69,11.27,15.05,12.14,0.84,39.31,28.04,WET,15.9,14.415574312319125,0.07207787156159562
