"sp","DE","GF","LL","LMA","Aarea","Rarea","LMAp","LMAs","preLL","Narea","Parea","gr"
"Abies lasiocarpa","E","T",95.4992586021436,257.039578276886,2.95120922666639,0.870963589956081,27.7524463366649,229.287131940221,35.4329599730238,2.61818300821899,NA,"Evergreen"
"Acacia colletioides","E","S",37.1535229097173,363.078054770101,8.51138038202377,1.99526231496888,122.333820608105,240.744234161996,35.2447889401303,4.1209751909733,0.110662378397767,"Evergreen"
"Acacia doratoxylon","E","S",19.9526231496888,218.776162394955,14.4543977074593,1.47910838816821,96.3221956569905,122.453966737965,20.4344993535286,4.38530697774986,0.181551566277314,"Evergreen"
"Acacia floribunda","E","T",13.4896288259165,125.892541179417,10.9647819614319,1.25892541179417,52.9792568408656,72.9132843385514,13.5132881103618,2.89734358770132,0.0716143410212902,"Evergreen"
"Acacia havilandiorum","E","S",20.8929613085404,416.869383470335,12.0226443461741,3.23593656929628,208.894693928877,207.974689541458,30.3365779490275,3.82824743316823,0.120781383510678,"Evergreen"
"Acacia oswaldii","E","S",20.8929613085404,263.026799189538,13.1825673855641,1.41253754462275,124.531430466507,138.495368723031,22.0288856431691,4.85288500162121,0.177010895831742,"Evergreen"
"Acacia suaveolens","E","S",29.5120922666639,218.776162394955,9.54992586021436,1.44543977074593,73.7648915778351,145.01127081712,23.8185168252726,4.21696503428582,0.0485288500162121,"Evergreen"
"Acacia willhelmiana","E","S",12.0226443461741,162.181009735893,8.12830516164099,1.81970085860998,75.3284261903932,86.8525835454998,15.026753263183,3.03389118419427,0.116949939101987,"Evergreen"
"Acer rubrum","D","T",5.37174167053699,61.6758465277276,7.10950672831674,0.767819238012599,35.5278927972285,26.1479537304991,5.44908476502181,NA,NA,"Deciduous"
"Acer saccharum","D","T",5.49540873857625,79.4328234724281,7.58577575029184,0.562341325190349,58.9684259226919,20.4643975497362,4.11909603988249,NA,NA,"Deciduous"
"Achillea millefolium","U","H",1,85.1138038202376,13.8038426460288,1.25892541179417,80.5320678806634,4.58173593957422,1.424451021705,1.58802248227812,NA,"Unclassified"
"Acomastylis rosii","U","H",1.99526231496888,83.1763771102671,10.7151930523761,1.73780082874938,70.5868261162892,12.5895509939779,3.14062274587732,2.09893988362352,NA,"Unclassified"
"Adenanthos cygnorum","E","S",39.8107170553497,234.422881531992,13.8038426460288,1.02329299228075,79.365836880505,155.057044651487,25.2873903419926,1.83231442237121,NA,"Evergreen"
"Aextoxicon punctatum","E","T",43.6515832240166,134.896288259165,5.62341325190349,0.501187233627272,25.4113946612452,109.48489359792,19.3542307294572,1.27166556705977,NA,"Evergreen"
"Agropyron repens","U","G",1.86653157185913,58.3067937859553,16.6283625282055,0.861050814079229,49.2899722717186,9.0168215142367,2.4107059376687,1.28401836700324,NA,"Unclassified"
"Ambrosia artemisiifolia","U","H",1.47910838816821,77.6247116628692,27.5422870333817,1.54881661891248,65.5562775362074,12.0684341266618,3.0674207286611,1.99067333898719,NA,"Unclassified"
"Anacardium excelsum","E","T",8.51138038202377,83.1763771102671,10.471285480509,2.18776162394955,33.2132982547452,49.9630788555219,10.1812904915624,NA,NA,"Evergreen"
"Andersonia heterophylla","E","S",10.7151930523761,257.039578276886,8.51138038202377,3.09029543251359,151.461435182622,105.578143094264,16.8507669097607,2.43220400907382,NA,"Evergreen"
"Andropogon gerardi","U","G",1.69941645950975,73.3508020162128,21.9832449870616,0.881574438779143,64.9922076891684,8.35859432704437,2.2702058296049,1.03814848989745,NA,"Unclassified"
"Anemone cylindrica","U","H",2.08929613085404,93.3254300796991,15.4881661891248,1.38038426460288,81.2764211906694,12.0490088890297,3.06456560630897,1.36183926611872,NA,"Unclassified"
"Antirrhoea trichantha","D","T",5.75439937337157,93.3254300796991,19.4984459975805,1.69824365246174,51.275212453334,42.0502176263651,8.61414643574364,1.92309172891016,NA,"Deciduous"
"Arctostaphylos uva-ursi","E","S",18.1970085860998,128.824955169313,4.36515832240166,0.676082975391982,24.6912097961023,104.133745373211,17.7292453740547,1.89939897680193,NA,"Evergreen"
"Asclepias syriaca","U","H",1.41253754462275,63.0957344480193,18.1970085860998,1.51356124843621,53.2495797046687,9.8461547433506,2.60306112708493,NA,NA,"Unclassified"
"Astroloma xerophyllum","E","S",8.7096358995608,223.872113856834,9.77237220955811,1.58489319246111,171.707711505767,52.1644023510667,9.31298907993959,2.18776162394955,NA,"Evergreen"
"Astrotricha floccosa","E","S",6.16595001861482,83.1763771102671,11.7489755493953,0.707945784384138,53.5843680157132,29.5920090945539,6.03837020805518,1.30617088813184,0.0584790084144481,"Evergreen"
"Atriplex canescens","U","H",7.07945784384138,251.188643150958,16.9824365246174,3.09029543251359,177.139363424942,74.0492797260162,13.0381617837279,5.2844525177518,NA,"Unclassified"
"Atriplex stipitata","E","S",6.30957344480193,83.1763771102671,19.4984459975805,3.01995172040202,36.7851955500543,46.3911815602128,9.60372053890291,2.41546083444494,0.109900583943252,"Evergreen"
"Austrocedrus chilensis","E","T",28.8403150312661,194.984459975805,7.58577575029184,1.20226443461741,58.2659929468976,136.718467028907,22.7134228540006,2.13796208950223,NA,"Evergreen"
"Baccharis angustifolia","U","T",2.51188643150958,95.4992586021436,18.6208713666287,1.65958690743756,76.9397051895333,18.5595534126103,4.29982081743272,1.8578044550917,NA,"Unclassified"
"Banksia attenuata","E","T",29.5120922666639,281.838293126445,26.3026799189538,1.81970085860998,114.749299403476,167.088993722969,26.8724743586979,2.31206479017559,NA,"Evergreen"
