sp,DE,GF,LL,LMA,Aarea,Rarea,LMAp,LMAs,LMAp_lo,LMAs_lo,LMAp_up,LMAs_up
Baccharis angustifolia,U,T,2.51188643150958,95.4992586021436,18.6208713666287,1.65958690743756,110.30215110645278,18.534554070714556,3428212134.625384,25.826162500504346,9632050361414469e167,7571117093472681e44
Banksia attenuata,E,T,29.5120922666639,281.838293126445,26.3026799189538,1.81970085860998,76.44417799803469,52.503402328798146,29911976.545356918,58057.246663647726,7452064349799587e113,23386518297465235e79
Banksia marginata,E,S,36.3078054770101,169.824365246174,19.4984459975805,0.977237220955811,65.47356792659711,62.621674014831555,9060396.98770747,1542790.6211467802,953843289570514e102,6696008238171718e94
Banksia menziesii,E,T,38.0189396320561,323.593656929628,18.6208713666287,1.81970085860998,69.40503731459737,59.63933769605853,1150682.5726262953,337639.4775465781,32631101722741606e104,6141678707862247e90
Baptisia leucophaea,U,H,3.46736850452532,93.3254300796991,14.7910838816821,3.38844156139203,77.41379636023845,49.88572222962351,722322.2996293356,8768.913750126254,19369984401810373e128,37795806098533685e84
Bellucia grossularioides,U,T,8.31763771102671,128.824955169313,14.1253754462275,1,86.25324254568045,36.11966383514327,73515.1842371616,305.03851994931495,6286362020148865e133,10032853588688795e82
Bertya cunninghamii,E,S,16.2181009735893,169.824365246174,7.07945784384138,1.81970085860998,42.6974148088172,82.6605874491706,179.74076539000262,19572665.873514168,4998547073746968e83,213028991740911e131
Beyeria opaca,E,S,14.7910838816821,158.489319246111,5.75439937337157,1.44543977074593,25.0932911393052,95.32662756006005,12.501907924967902,22363464.134391554,2159606965204652e71,10465480142241178e144
Bistorta bistortoides,U,H,1.99526231496888,83.1763771102671,11.2201845430196,2.34422881531992,93.98519428661902,25.858894619506806,795.5592000894205,40.579481741376405,12080534563625138e141,43452870536856563e86
Boronia ledifolia,E,S,19.4984459975805,158.489319246111,8.7096358995608,1.09647819614319,48.7186238283775,76.00593506376052,962.77535600316,631744.5146448154,5421661222646764e90,19677797783882783e117
Bossiaea eriocarpa,E,S,16.2181009735893,199.526231496888,18.6208713666287,1.86208713666287,75.42307216417322,52.816652699021716,6175249.867588289,62934.51726615976,29870621679214827e106,17089882781305055e91
Bossiaea walkeri,E,S,56.2341325190349,316.227766016838,11.2201845430196,2.57039578276886,54.7276250359312,73.89341712899844,94828.49693960053,68106397.69266486,2951017699106832e88,3993486372766024e107
Brachychiton populneus,E,T,13.1825673855641,128.859107517529,8.59273731128364,0.708133465496963,48.109399643402554,72.26702074555459,41.74044819088147,5005.877199198736,35180356683805604e102,3835555641855498e123
Bromus inermis,U,G,1.99526231496888,56.2341325190349,8.7096358995608,0.758577575029184,93.19439464160126,18.079441853804315,7.688103753292013,11.383460287690252,12040019134439752e157,7820977005222288e105
Callitris glaucophylla,E,T,30.9029543251359,234.422881531992,6.30957344480193,0.977237220955811,25.414448155780214,95.68940419376517,15.160322609389578,31079230.192700345,5183217987676098e69,54674699170155416e150
Calytrix flavescens,E,S,27.5422870333817,239.883291901949,14.4543977074593,1.81970085860998,64.49008589922035,63.514584829750746,454417.6273168425,727583.418036329,17192794825737094e97,13977517357607763e100
Cassinia laevis,E,S,10,128.824955169313,6.91830970918936,1.77827941003892,39.87070399966389,81.24214636815961,107.98740029022451,3248334.1459686006,1454432808963419e84,9672823684038747e128
Castilla elastica,D,T,5.75439937337157,77.6247116628692,7.76247116628692,2.08929613085404,51.84461868435777,75.2250878473705,1084.9079372016834,4801798.907554602,9337512340280489e89,11627322053570033e113
Cecropia ficifolia,U,T,2.69153480392692,69.1830970918937,17.7827941003892,1.25892541179417,99.81330338178273,26.535698597478447,157231644.6054427,85.70540553953718,22423313500968795e158,4127939001946095e52
Cecropia longipes,D,T,2.88403150312661,114.815362149688,19.9526231496888,2.51188643150958,100.93879169863148,25.25583911794311,62306049.857118525,56.48561505336962,35854748817474905e157,11622765299525862e57
Conostephium pendulum,E,S,26.9153480392692,213.796208950223,10.9647819614319,1.81970085860998,57.06596255197627,70.81526599023823,56004.56028392841,5369744.287980008,6766992657290879e94,10009062050947633e107
Correa reflexa,E,S,11.7489755493953,70.7945784384138,4.46683592150963,0.316227766016838,7.74542515952991,117.19114275717519,2.238548001297117,6055339.846945288,1629337342440041e51,10911820823192444e178
Corymbia gummifera,E,T,14.4543977074593,186.208713666287,12.8824955169313,1.23026877081238,73.44762004045377,50.77987241609623,15383.37237054162,4780.952004545377,2730218566666995e116,1390571012261149e94
Cryptocarya alba,E,T,31.6227766016838,144.543977074593,10.2329299228075,1.34896288259165,55.75803733904978,74.86238894011046,68766.74997588448,52594767.052124605,13019321051699778e80,35048212670407307e114
Dasyphyllum diacanthoides,E,T,15.8489319246111,131.82567385564101,9.54992586021436,1.02329299228075,54.48842317863951,71.71715119136874,1968.8862406670066,470746.09814589296,72969994900854245e96,57757892283210904e112
Desmodium canadense,U,H,2.45470891568503,63.0957344480193,12.0226443461741,0.741310241300917,108.11619308512334,15.757569430189378,384.6013508232792,13.10634981606566,3891451711898131e167,4572194778853819e62
Dodonaea triquetra,E,S,8.12830516164099,95.4992586021436,20.8929613085404,1.02329299228075,80.95989885709051,46.041515592674386,26296960.49146199,3733.141129891759,9739515633410455e120,63135175306134904e78
Dodonaea viscosa angustissima,E,S,7.94328234724282,169.824365246174,12.3026877081238,3.31131121482591,68.66742255284366,57.22300901788229,25589.261083257792,21382.409187059795,10054561447058998e108,26130153254531443e102
Dodonaea viscosa cuneata,E,S,9.77237220955811,112.201845430196,10,1.94984459975805,58.233238365977556,69.10130787856941,27565.471229726918,1781057.7232734365,1155096188760763e93,4624115823105703e109
Dodonaea viscosa spatulata,E,S,10.2329299228075,131.82567385564101,12.8824955169313,1.94984459975805,65.85763410438113,61.11885421484183,163481.59729232432,186778.5968996541,3574848220597683e106,25559760855017724e98
Drimys winteri,E,T,32.2458173948273,160.004256160643,8.32645912340181,1.55539059854225,50.26903858214334,78.18326450538703,15619.046187367492,58575911.840077825,18656419447787816e78,11797445403359959e120
Echinacea purpurea,U,H,3.98107170553497,77.6247116628692,9.77237220955811,1.34896288259165,70.15414438860125,51.62051930435334,409.97226022387713,1449.7055997426985,3932544428422267e125,3943508858285051e101
Eleagnus angustifolia,U,T,3.01995172040202,81.2830516164099,14.1253754462275,1.90546071796325,88.92612473776325,36.138272353749755,687969.9996762186,367.49567796121573,1942617782347327e146,17027162648560304e78
Embothrium coccineum,E,T,7.07945784384138,102.329299228075,14.1253754462275,1.58489319246111,72.37446749952187,54.03500690597521,183200.28232491593,25580.10266142828,6690696775409793e115,2128943768407547e86
Eremaea pauciflora,E,S,14.1253754462275,199.526231496888,14.1253754462275,1.77827941003892,74.5734141635192,53.200745303978536,318190.15983224823,22323.109876212573,3105934762477938e114,2336607938480733e95
Eremophila deserti,E,S,28.8403150312661,218.776162394955,9.1201083935591,1.25892541179417,51.69391407926178,74.62584269499202,621.6830862175295,6343123.215642778,962606482183352e95,4265263272450429e116
Eremophila glabra,E,S,16.6134701060524,158.531335813571,13.5791284152681,1.8047157535978,64.71337979907452,63.585130577608666,206825.2426230767,1048663.5348229997,127566357481002e100,9292684498576285e101
Eremophila mitchelli,E,S,14.1253754462275,177.827941003892,9.1201083935591,1.86208713666287,53.2695481707796,70.69952526890057,910.5358696519214,147550.88018055956,1457739852327196e96,11519668238144348e114
Eriostemon australasius,E,S,12.0226443461741,147.910838816821,10,1.25892541179417,61.61234966059642,64.101179304345,1045.0772799062013,14183.600760809633,6086540461819922e108,5082327130238611e108
Erythronium americanum,U,H,1.90546071796325,44.6683592150963,12.0226443461741,2.34422881531992,72.73622978881366,53.696609472022246,300634.34612357983,15586.648274430772,18631954562910836e115,18597181669418324e91
Eucalyptus dumosa,E,T,29.5120922666639,301.995172040202,13.4896288259165,1.28824955169313,69.05927549274458,56.545806189903836,22034.540061396106,16875.36371677242,15677946491317084e111,7131997758299593e97
Eucalyptus haemostoma,E,T,18.6208713666287,199.526231496888,12.0226443461741,1.17489755493953,67.33165489724806,57.42280696223307,6026.301466248584,24704.59402141845,310074466232482e112,4200966895207263e108
Eucalyptus intertexta,E,T,15.8489319246111,181.970085860998,18.1970085860998,1.25892541179417,78.35842885094607,48.96435282614581,1550191.1915910076,9485.962125107215,499606169396463e125,2839491354253639e86
Eucalyptus paniculata,E,T,13.1825673855641,120.226443461741,9.1201083935591,0.794328234724281,54.81827081541462,68.10264593085074,377.0310334088213,42686.99084047281,4215523988179848e98,10639611446899862e117
Eucalyptus socialis,E,T,28.8403150312661,281.838293126445,16.2181009735893,1.51356124843621,70.72151067031217,56.41045357692563,1499184.2919785916,43725.873176581255,28364535385631234e108,997895224828388e97
Eucalyptus umbra,E,T,24.5470891568503,204.173794466953,8.51138038202377,1.12201845430196,46.06996897097815,77.44757146583461,226.57272838911524,2566188.3066903665,1167432562974534e91,3170866556013099e125
Eucryphia cordifolia,E,T,30.3998818265947,133.360981057403,10.6100922715098,0.742096450506415,56.104889212804366,71.80622783127276,18525.307916763973,4670592.495221778,5693111028482998e91,18493335374592244e117
Eupatorium rugesum,U,H,4.78630092322638,21.3796208950223,6.91830970918936,0.954992586021436,51.04420301393229,79.0185190197656,30058.748064943353,302443830.48898077,37899002701771e83,26678431312362924e111
Eutaxia microphylla,E,S,11.7489755493953,89.1250938133745,9.54992586021436,1.62181009735893,56.533143689098296,71.47615885194679,28456.120543483754,19796122.704122942,57228481045988385e94,2260445768116582e108
Galax aphylla,U,H,18.1970085860998,79.4328234724281,4.89778819368446,0.776247116628692,32.546230543008384,94.0819953175178,104.77577523618572,4628489081.435904,23060183943126614e63,4851554741674811e140
Geijera parviflora,E,T,29.5120922666639,186.208713666287,10.471285480509,1.09647819614319,55.9033585815487,71.40670035242276,17783.038943649826,3779067.673999783,13918279868812535e98,10541071669843598e110
Gevuina avellana,E,T,52.4807460249773,154.881661891248,8.91250938133745,1,51.382759764111796,77.76185546762926,17925.444744014534,134757583.03596476,2828869955684087e82,49239001047282854e116
Gompholobium grandiflorum,E,S,28.1838293126445,128.824955169313,6.91830970918936,1.54881661891248,47.04789214518067,81.28894486862393,9155.417705601356,586872086.5605723,19257598553233914e73,43136939105971086e122
Grevillea buxifolia,E,S,15.1356124843621,109.647819614319,8.7096358995608,1.62181009735893,52.01562839164966,74.86517104569714,19519.989213218676,33259362.103148937,2206107678316911e85,19517148014487115e116
Grevillea speciosa,E,S,18.6208713666287,154.881661891248,8.91250938133745,1.28824955169313,51.211057537364134,74.46553308878794,3247.0189944545136,5175424.377568552,2674012037209379e91,1959839279697142e116
Gutierrezia sarothrae,U,S,6.02559586074358,295.120922666639,14.7910838816821,4.26579518801593,100.54130211141427,23.110162044134846,7094.20046759011,40.531354697494955,32854517253780144e146,12347571617853564e71
Hakea dactyloides,E,S,41.6869383470336,257.039578276886,12.5892541179417,1.14815362149688,59.82417281592589,67.58931726601261,30771.49584666056,1352063.0927721793,39267232027906847e98,19421988223966743e104
Hakea tephrosperma,E,S,40.7380277804113,501.187233627272,12.3026877081238,1.31825673855641,70.15057281485349,50.832487302051454,306.3027450868467,1059.7830902370808,17565562912737722e124,19397158026471025e104
Hakea teretifolia,E,S,20.8929613085404,338.844156139202,14.1253754462275,1.65958690743756,78.80926181580696,43.07904461431309,11721.051779174086,540.1533437403018,9140057022086557e132,11754485026972769e90
Helianthus microcephalus,U,H,4.07380277804113,39.8107170553497,10.471285480509,1.41253754462275,60.31738869479875,68.34475408631107,146123.86603419387,894418.578087124,7543059420190187e90,1149082919446629e107
Hibbertia bracteata,E,S,10.9647819614319,109.647819614319,6.76082975391982,0.891250938133746,31.412756156788525,86.68345336349756,19.102846473742527,358870.20093875274,8173186801298759e86,10751142882264102e147
Hibbertia huegelii,E,S,14.7910838816821,181.970085860998,12.8824955169313,1.07151930523761,73.16571698169565,49.31017649324686,12973.920583621893,1233.3448922259813,40858556234785905e120,5299191550637552e95
Hibbertia subvaginata,E,S,16.9824365246174,245.470891568503,17.7827941003892,1.81970085860998,78.33421263338806,48.37860270463881,1209975.8012070423,6353.1722379182875,5911904361175589e122,4315880387688786e85
Jacksonia floribunda,E,S,33.1131121482591,309.029543251359,19.9526231496888,2.63026799189538,69.91422127740636,60.054776702695676,5479863.599400672,624121.9397546254,3126482865977697e104,10275199389805268e92
Juniperus monosperma,E,T,77.6247116628692,776.247116628692,7.76247116628692,3.71535229097173,41.87265722479283,83.28195406607455,263.329567377822,24592093.80557582,5783183453197052e81,22971600200057159e126
Kalmia latifolia,E,T,36.3078054770101,104.71285480509,4.78630092322638,0.933254300796991,37.69189034402079,89.76114433177284,483.9435851674312,7301900123.686563,164216665005209e66,613727065422229e132
Koeleria cristata,U,G,2.0451477162568,115.681928269994,18.8633010869314,2.51930253571984,114.90918672264183,14.92181144852799,481223052145.3744,13.193285870037165,517283072679021e168,2025857164232216e30
Lambertia formosa,E,S,29.5120922666639,223.872113856834,9.33254300796991,0.891250938133746,50.11853437321164,73.91337689046469,348.92667473160725,182796.1111004564,23243223439861755e95,13332812512001622e119
Larrea tridentata,E,S,12.0226443461741,251.188643150958,18.1970085860998,1.94984459975805,91.24994212982484,35.47236103191619,15136479.257220969,367.73309205221466,10795616563623213e139,22861806135487893e72
Lasiopetalum ferrugineum,E,S,23.9883291901949,120.226443461741,8.12830516164099,0.478630092322638,43.79543722717865,78.30299686572255,122.71214273561642,350688.7694299452,6413707073866826e90,7274950495163839e127
Laurelia philippiana,E,T,26.9153480392692,162.181009735893,6.45654229034656,1,35.93649748891231,88.30884270374321,91.61329480297853,67476779.5009637,8653016029567811e71,19702172742887098e133
Leptospermum polygalifolium,E,S,7.41310241300917,91.201083935591,8.51138038202377,1.28824955169313,54.41115270122023,70.6588016844174,696.3012159028746,90350.36017872849,27078098137402957e96,5127274705213096e118
Leptospermum trinervium,E,S,22.3872113856834,128.824955169313,4.46683592150963,1.58489319246111,31.54073911129283,93.96302975038714,69.46552876324446,15111700177.007555,10323859957595433e62,31290876188904524e144
Lespedeza capitata,U,H,1.54881661891248,102.329299228075,15.1356124843621,1.23026877081238,125.03637651826462,5.636154055631238,118911773339940.11,2.6939040242312466,1646823032637359e188,3820053793272709.5
Leucopogon conostephioides,E,S,14.1253754462275,158.489319246111,6.45654229034656,1.73780082874938,34.61769510791886,86.85472570508233,37.44833317233236,16293788.908235056,5203622722301053e77,866312798620854e143
Licania heteromorpha,E,T,39.8107170553497,147.910838816821,7.94328234724282,0.776247116628692,46.34217051596929,80.885997487785,3998.481964988556,120842485.62459394,15872124518964292e78,659615100554731e122
Liriodendron tulipifera,D,T,5.24807460249773,60.2559586074358,10.2329299228075,0.851138038202376,66.37325002425115,57.8353036335424,3944.6776109269995,17135.51494364695,15536555194749773e106,25943134959409606e104
Lomatia hirsuta,E,T,23.9883291901949,123.026877081238,8.91250938133745,1,51.83932130907958,75.61308024138732,13402.063864559688,39125945.47292209,1592125575165644e89,1191006134491701e112
Lomatia silaifolia,E,S,27.5422870333817,141.253754462275,5.88843655355589,0.812830516164099,33.13122174323276,92.6932082290223,59.879444512296125,247683653.7775608,34890211743674214e68,6164642075453e146
Luehea seemannii,D,T,6.30957344480193,138.038426460289,18.6208713666287,2.95120922666639,79.74343949160294,48.063250628495595,16228346.460417729,8622.498594085202,6107483605427352e123,63158379964676104e78
Luma apiculata,E,T,20.6551703776178,150.109718098091,9.18061754222427,1.43657137207712,53.882372988069974,74.18005021024419,16275.374793687633,8180442.104343001,28237772951202583e86,5813892559486133e114
Lupinus perennis,U,H,0.933254300796991,64.5654229034656,20.8929613085404,1.90546071796325,119.5339452922442,10.579203761124905,5251754735631.788,6.089666885476694,9199024555849052e171,7277643010682584e19
Lyginia barbata,E,G,45.7088189614875,676.082975391982,20.4173794466953,2.69153480392692,79.02478733099753,47.158069903252276,2985943.7009940194,3861.2070724788277,1725708375294975e121,3215678926365969e80
Lyonia lucida,E,S,19.4984459975805,239.883291901949,6.16595001861482,1.38038426460288,18.29050076249131,101.66199371896272,6.186591017668021,2812050.0373591003,9941126087247528e67,9181308159272509e160
Macrozamia riedlei,E,S,104.71285480509,288.403150312661,11.7489755493953,0.954992586021436,54.228512856166134,73.96886548685528,151391.27482392674,39142569.427837834,32422962456951387e89,6780942881023758e108
Manihot esculenta,U,S,1.51356124843621,36.3078054770101,16.9824365246174,1.20226443461741,90.12147193399838,33.77477111744818,48394437.486798204,182.05224550459977,6160661478233469e143,897069125274701e72
Melaleuca acerosa,E,S,24.5470891568503,331.131121482591,16.2181009735893,2.69153480392692,70.97812048398896,56.180066740891846,2448476.424095722,84698.0868141952,22046317562514568e107,807429278189195e93
Melaleuca uncinata,E,S,16.6134701060524,331.013844723503,12.8372911252395,2.88479607896542,70.9721251619172,52.13628688464726,14674.556045924153,4473.176767884171,50473416920031614e113,13961314945548343e98
Miconia dispar,U,T,12.0226443461741,109.647819614319,10.2329299228075,0.575439937337157,64.66604606833795,57.52584989858592,173.4361768331479,2047.7085919112076,1173399520122972e114,8953790456570254e112
Myrceugenia planipes,E,T,36.3078054770101,131.82567385564101,6.16595001861482,0.707945784384138,38.25025830792507,89.6280414397594,249.87446209187797,622412405.3185697,12812734593930701e70,2350167961050736e131
Nothofagus dombeyi,E,T,17.203510428574,128.961582670202,11.2231590882003,1.32264740752783,60.149297593624986,68.33624692173757,62192.2893893719,2020106.3920258426,9096729385557676e94,4926716854929731e104
Nuytsia floribunda,E,T,28.1838293126445,457.088189614875,12.8824955169313,2.23872113856834,71.28763793895052,52.92398469629519,6161.359621937629,5871.4330911808465,2825513083623154e116,875181376030834e101
Ocotea costulata,E,T,38.9045144994281,128.824955169313,5.88843655355589,0.645654229034656,36.52042403303885,89.99310552597362,158.92223170645994,1017933249.9673439,901658500210925e71,57315580545891396e131
Olearia decurrens,E,S,11.2201845430196,154.881661891248,10.2329299228075,1.58489319246111,63.93163229264098,62.13525341131039,1550.4974856441297,16417.88725807339,4126166002714061e111,2300258022194755e109
Olearia pimelioides,E,S,11.461975519794,109.909527361014,6.75843526982924,1.76363540766109,42.96319970339825,82.93924395588888,438.553237257622,70652778.91275267,3979813429978887e83,11152912157053113e119
Patersonia occidentalis,E,H,28.8403150312661,380.189396320561,15.4881661891248,1.90546071796325,74.04577728346659,51.291372288778746,200466.83944142028,8527.927665205363,2820415798229999e113,9847843887777248e91
Persea borbonia,E,S,18.1970085860998,112.201845430196,6.76082975391982,0.741310241300917,36.96945024207226,86.36989042176987,63.35648333269314,11536332.768623581,3345175183698323e81,61773849719401176e131
Persea lingue,E,T,33.1131121482591,104.71285480509,8.12830516164099,0.446683592150963,47.706600995951405,79.19539161513771,959.7862746780471,38457274.96873547,5504281803331412e79,7627766944969501e127
Persoonia levis,E,S,45.7088189614875,181.970085860998,8.12830516164099,0.562341325190349,43.391866665235185,82.44772671350475,288.8379498602239,16158481.822297346,9692108583065548e81,14378598942438992e133
Persoonia linearis,E,T,40.7380277804113,144.543977074593,7.41310241300917,0.707945784384138,44.52183409714296,82.29630450339403,1106.434135600383,104766303.89643034,21267375821720095e74,2199052870647186e119
Persoonia saccata,E,S,29.5120922666639,457.088189614875,19.0546071796325,2.45470891568503,78.50244248115203,47.05117662740069,3233668.595785835,3362.9411214510046,3779361759693146e120,5303950309920654e85
Petrophile linearis,E,S,41.6869383470336,549.540873857625,21.8776162394955,3.38844156139203,74.89260569001101,53.92344783433388,9512616.627237247,180133.86163369264,61500711348937176e112,5539254794955671e89
Philotheca difformis,E,S,22.9849776094508,226.625405668854,10.1325594562952,3.05709260499561,55.90935391738455,72.07713832532079,30330.49945347208,5616556.804841925,4983212330694987e87,3993134099138423e112
Phyllota phylicoides,E,S,22.3872113856834,120.226443461741,8.31763771102671,1.77827941003892,52.402213227663566,76.83887528200293,19377.838694275506,130403098.7145172,11737386177832601e78,4815982373518036e123
Picea engelmanii,E,T,89.1250938133745,309.029543251359,3.54813389233576,0.977237220955811,17.709028283976004,109.92516595915484,9.928380749140887,463720811215.2272,15001083619430477e46,9511125868005622e154
Picea glauca,E,T,60.2559586074358,288.403150312661,6.60693448007596,1.14815362149688,37.01796218037495,89.37713913852146,166.3527637996336,281618592.72302914,5991019852173928e69,47774508341527056e131
Pimelea linifolia,E,S,12.5892541179417,57.5439937337157,7.94328234724282,1.31825673855641,52.3116878119186,77.27579134945432,52502.1724846038,168218342.67051226,1643426810739212e81,44205222189910095e110
Pimelea microcephala,E,S,7.58577575029184,81.2830516164099,10.7151930523761,2.18776162394955,59.96443397165837,68.35530466131539,89102.48797867831,8407975.178819655,410107460872717e95,5604768654501168e102
Pinus banksiana,E,T,26.9153480392692,245.470891568503,7.58577575029184,1.47910838816821,40.052221564199485,84.80667136158894,103.1234060763823,4347754.3273268845,16904143455716428e79,718748039243702e131
Pinus flexilis,E,T,36.3078054770101,363.078054770101,9.77237220955811,1.47910838816821,51.60297237338416,72.37101320585501,375.91809390693913,89468.54575211077,7932930562078745e93,4462524001033188e121
Pinus palustris,E,T,32.3593656929628,257.039578276886,3.89045144994281,0.91201083935591,6.6015584718744815,121.74354856265754,2.037247550216015,8263421271186.32,500150944937819e24,10267209772429388e177
Pinus rigida,E,T,33.1131121482591,204.173794466953,11.2201845430196,1.07151930523761,58.42082971310862,67.48444893151137,11010.835817241035,1513565.0154638188,957614025468442e92,36718551275438245e111
Pinus serotina,E,T,26.9153480392692,275.422870333817,4.07380277804113,1.20226443461741,6.610100578704172,121.95425373484271,2.1912402246979936,478828085335.8109,17714912066826922e23,6064682187371079e179
Pinus strobus,E,T,20.8929613085404,122.272053936742,6.02559586074358,0.596649334835271,25.808119966376008,96.52946447001807,17.251567234034482,31478901.59981613,13465229201489038e75,47876686484821106e150
Pinus sylvestris,E,T,26.9153480392692,295.120922666639,10.2329299228075,1.81970085860998,57.67172375316957,68.98702764857363,2386.1142180890342,446307.38942187856,44971868872025365e93,8630253426859201e113
Poa pratensis,U,G,3.01995172040202,100,30.1995172040202,3.46736850452532,90.13058347571143,38.26345243074513,2971720116.975691,941.2703087331513,27383035378479545e134,41114439824974486e63
