sp,DE,GF,LL,LMA,Aarea,Rarea,Narea,Parea,LMAp,LMAs,LMAp_lo,LMAp_up,LMAs_lo,LMAs_up,id
Abies lasiocarpa,E,T,95.49925860214358,257.03957827688646,2.9512092266663856,0.8709635899560807,2.618183008218985,NA,16.021921466123523,241.01765681076293,1.714248548223895,63.5032600146268,193.53631826225967,255.32532972866255,gl_1
Acacia colletioides,E,S,37.15352290971726,363.0780547701014,8.511380382023766,1.9952623149688795,4.120975190973302,0.11066237839776664,116.74081180388173,246.33724296621966,21.817661665920856,250.61767716072254,112.46037760937887,341.26039310418054,gl_2
Acacia doratoxylon,E,S,19.952623149688797,218.7761623949552,14.454397707459272,1.4791083881682074,4.385306977749857,0.18155156627731356,115.73571337146713,103.04044902348808,36.71090805067242,176.64084160220543,42.13532079274978,182.06525434428278,gl_3
Acacia floribunda,E,T,13.489628825916531,125.89254117941675,10.964781961431852,1.2589254117941673,2.8973435877013234,0.0716143410212902,57.92786813797044,67.9646730414463,15.049823835293378,97.03354247095845,28.8589987084583,110.84271734412337,gl_4
Acacia havilandiorum,E,S,20.892961308540396,416.8693834703355,12.02264434617413,3.2359365692962827,3.8282474331682264,0.120781383510678,225.24444858308615,191.62493488724934,60.639477575394295,345.12103508167405,71.74834838866144,356.2299058949412,gl_5
Acacia oswaldii,E,S,20.892961308540396,263.02679918953817,13.182567385564074,1.4125375446227544,4.852885001621211,0.17701089583174212,142.38403536866977,120.6427638208684,39.61382838594831,217.8095793870555,45.217219802482674,223.41297080358987,gl_6
Acacia suaveolens,E,S,29.512092266663856,218.7761623949552,9.549925860214358,1.4454397707459274,4.216965034285822,0.0485288500162121,76.60388009751917,142.17228229743603,18.22528877199608,149.38974371123803,69.38641868371718,200.55087362295913,gl_7
Acacia willhelmiana,E,S,12.02264434617413,162.181009735893,8.128305161640993,1.8197008586099832,3.0338911841942706,0.11694993910198707,67.72350009862052,94.4575096372725,12.091071898884499,127.08553793565065,35.095471800242365,150.0899378370085,gl_8
Acer rubrum,D,T,5.371741670536986,61.67584652772756,7.109506728316736,0.7678192380125994,1.206444984484017,NA,27.3668211493373,34.30902537839026,3.558474928360846,51.565081386843396,10.110765140884162,58.11737159936671,gl_9
Acer saccharum,D,T,5.495408738576246,79.43282347242814,7.585775750291837,0.5623413251903491,1.4791083881682074,NA,46.06032067756506,33.37250279486308,3.4433473654503954,72.00992938160024,7.422894090827896,75.98947610697775,gl_10
Achillea millefolium,NA,H,1,85.11380382023764,13.803842646028846,1.2589254117941673,1.5523870099580823,NA,79.92843711580734,5.185366704430294,72.50398099975989,83.58190217278494,1.531901647452699,12.609822820477746,gl_11
Acomastylis rosii,NA,H,1.9952623149688795,83.17637711026708,10.715193052376064,1.7378008287493754,2.098939883623524,NA,68.57984207108957,14.59653503917751,48.32774997497915,78.53915060711917,4.6372265031479145,34.848627135287934,gl_12
Adenanthos cygnorum,E,S,39.810717055349734,234.42288153199223,13.803842646028846,1.023292992280754,1.8323144223712116,NA,96.58979392518403,137.8330876068082,25.702482226061967,170.22301071555546,64.19987081643677,208.72039930593027,gl_13
Aextoxicon punctatum,E,T,43.65158322401658,134.89628825916532,5.623413251903491,0.5011872336272722,1.3243415351946646,NA,19.55399598123973,115.3422922779256,2.782839943475965,60.51688618421419,74.37940207495113,132.11344831568934,gl_14
