"sp","DE","GF","LL","LMA","Aarea","Rarea","LMAp","LMAs","preLL","Narea","Parea","gr"
"Abies lasiocarpa","E","T",95.4992586021436,257.039578276886,2.95120922666639,0.870963589956081,43.7059870511802,213.333591225706,NA,2.61818300821899,NA,"Evergreen"
"Acacia colletioides","E","S",37.1535229097173,363.078054770101,8.51138038202377,1.99526231496888,141.348636233424,221.729418536677,NA,4.1209751909733,0.110662378397767,"Evergreen"
"Acacia doratoxylon","E","S",19.9526231496888,218.776162394955,14.4543977074593,1.47910838816821,120.124150206046,98.6520121889092,NA,4.38530697774986,0.181551566277314,"Evergreen"
"Acacia floribunda","E","T",13.4896288259165,125.892541179417,10.9647819614319,1.25892541179417,61.3812817863434,64.5112593930736,NA,2.89734358770132,0.0716143410212902,"Evergreen"
"Acacia havilandiorum","E","S",20.8929613085404,416.869383470335,12.0226443461741,3.23593656929628,221.441542209383,195.427841260952,NA,3.82824743316823,0.120781383510678,"Evergreen"
"Acacia oswaldii","E","S",20.8929613085404,263.026799189538,13.1825673855641,1.41253754462275,147.930347005248,115.09645218429,NA,4.85288500162121,0.177010895831742,"Evergreen"
"Acacia suaveolens","E","S",29.5120922666639,218.776162394955,9.54992586021436,1.44543977074593,91.673520474511,127.102641920444,NA,4.21696503428582,0.0485288500162121,"Evergreen"
"Acacia willhelmiana","E","S",12.0226443461741,162.181009735893,8.12830516164099,1.81970085860998,65.6949475566501,96.4860621792429,NA,3.03389118419427,0.116949939101987,"Evergreen"
"Acer rubrum","D","T",5.37174167053699,61.6758465277276,7.10950672831674,0.767819238012599,23.1152897338351,38.5605567938925,NA,NA,NA,"Deciduous"
"Acer saccharum","D","T",5.49540873857625,79.4328234724281,7.58577575029184,0.562341325190349,32.5658628478777,46.8669606245504,NA,NA,NA,"Deciduous"
"Achillea millefolium","U","H",1,85.1138038202376,13.8038426460288,1.25892541179417,81.8549673509974,3.25883646924021,NA,1.58802248227812,NA,"Unclassified"
