"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","para","sig"
"309",2.17538919894737,0.00397772389523734,0.173712557298109,1.79754163320149,2.0675500822508,2.19620816183631,2.30254870017208,2.45219543416946,1907.18647850716,0.999763629944396,"mu1[101]","sig"
"310",2.5226094879319,0.000809442836377692,0.0360972932120801,2.45413495456868,2.49749212585965,2.52167563016583,2.54638431206918,2.59529044094473,1988.73495217242,1.00060989602338,"mu1[102]","sig"
"311",2.40786317513134,0.00323292543110246,0.133893909424581,2.08265787210325,2.33241015560734,2.43643645147219,2.50477202095878,2.59924969302771,1715.26122231071,0.999048381525311,"mu1[103]","sig"
"312",2.07295949091236,0.0038855779112615,0.173768326829047,1.70030466017699,1.96342745852462,2.08313639840911,2.1972686586265,2.37218026670605,2000,1.00022917496729,"mu1[104]","sig"
"313",2.20962352955286,0.00239506451321928,0.107110541241115,1.96789689973216,2.1554750291937,2.22851604460713,2.28572801424146,2.36338470139074,2000,0.998795568758051,"mu1[105]","sig"
"314",2.18004389448644,0.003506389406234,0.15300899462532,1.83764708233707,2.08350018934301,2.19365701066872,2.29350239037255,2.43027782200118,1904.20469685693,1.0002596838354,"mu1[106]","sig"
"315",2.02894322025496,0.00424134239755347,0.184951005311361,1.65520374207005,1.90259304589033,2.03638019805369,2.16344054554154,2.36319149859726,1901.54551420923,0.998888205491505,"mu1[107]","sig"
"316",2.55327884664383,0.00112098273557878,0.0501318719671564,2.44633868799839,2.52284413596119,2.55643727315512,2.58614220928041,2.64504732092195,2000,1.00067463691872,"mu1[108]","sig"
"317",2.34132215148523,0.00299267760532085,0.129957402880538,2.04220648931861,2.26283425306502,2.35509988634307,2.4339508552754,2.55011045052897,1885.74159110339,0.999744897583238,"mu1[109]","sig"
"318",2.40437481440977,0.000698966358585049,0.0312587258356333,2.34618672297036,2.38276271085504,2.40363652358397,2.42491130816214,2.46844242496512,2000,1.00002504636101,"mu1[110]","sig"
"319",2.88121055154615,0.00229157278676967,0.102482250532112,2.66279600523876,2.818311263214,2.88504335875089,2.94747771511681,3.07014302410423,2000,0.999497521838595,"mu1[111]","sig"
"320",2.39506124415957,0.00444911161098295,0.196243553398441,1.95266669900301,2.27300405229819,2.43015818393319,2.54736720383817,2.68607679819868,1945.55806516634,0.999590938779501,"mu1[112]","sig"
"321",2.26742924616484,0.00398806533503332,0.161312152452075,1.92016527671806,2.16914014154439,2.28121877089499,2.38368565645366,2.54324093945325,1636.09924120533,1.0023578289769,"mu1[113]","sig"
"322",2.21169901273315,0.00102707190345124,0.0459320518779415,2.11242280893034,2.1856501985933,2.21460780784046,2.24279441793754,2.29271429372429,2000,0.999918146066481,"mu1[114]","sig"
"323",2.70417259150356,0.00213287329470343,0.0894837926172407,2.49974435066582,2.65517188746422,2.71405292815936,2.76250238724802,2.85521302569177,1760.18636378896,0.999222113034871,"mu1[115]","sig"
"324",2.74844651155498,0.00175086708548395,0.0783011564541811,2.57928732601085,2.70150240209824,2.74953312161387,2.80078109165238,2.88848222441347,2000,0.99888260881688,"mu1[116]","sig"
"325",2.13595163240076,0.00422351943803946,0.187446944591855,1.73802363876292,2.01340359431253,2.14728110776921,2.27485114890711,2.44009047974504,1969.73470534951,0.9999785512635,"mu1[117]","sig"
"326",1.95482094391485,0.0042360226141138,0.189440690387697,1.55785585076401,1.83476128766245,1.96455470628416,2.08584051353568,2.28900610392881,2000,1.00026178745801,"mu1[118]","sig"
"327",2.33858287848263,0.00271616085446224,0.120260236234435,2.05870458495324,2.27298770898032,2.35523364789694,2.4263512446821,2.52352372738933,1960.34781777948,1.00004349592774,"mu1[119]","sig"
"328",2.76684672097718,0.00251042134783069,0.111184013087402,2.51142246241156,2.70617247697763,2.78128587077816,2.84026299578754,2.95981842404348,1961.51418067409,1.00076918623243,"mu1[120]","sig"
"329",1.90909876634584,0.00429683364605266,0.192160242411641,1.50657635308583,1.78353964807339,1.91945507127112,2.04739662265932,2.25827299841834,2000,1.00061460477263,"mu1[121]","sig"
"330",2.47968640562827,0.00221787649965871,0.0991864523787232,2.23568191512181,2.43206442665453,2.49574787149688,2.5468023080231,2.63114682183483,2000,0.999392371301937,"mu1[122]","sig"
"331",2.33245607660225,0.00273450651446224,0.11865817324652,2.0363806483336,2.27489673842218,2.35419013779723,2.41579089857552,2.50401746364497,1882.94394544464,0.999796586091435,"mu1[123]","sig"
"332",2.70048622374132,0.00253141522217119,0.108230872854391,2.44774712581237,2.64020655061024,2.71206009448329,2.77629023585465,2.88134630739177,1827.99728863374,0.999236215830632,"mu1[124]","sig"
"333",2.04476840879303,0.00454832763053756,0.182887961051852,1.64683907929883,1.93244453849521,2.05514975782079,2.17680031612086,2.36087229593174,1616.83891989944,0.998694776635563,"mu1[125]","sig"
"334",1.85396479890538,0.00435318371598533,0.194680294149767,1.45268103344961,1.72969942700432,1.86014099692442,1.98587624655115,2.22155368404505,2000,1.00051471717465,"mu1[126]","sig"
"335",1.98410519382979,0.00430200027159266,0.192391300930075,1.5882214489036,1.85373718417235,1.98845161767163,2.12078579790123,2.32628126920644,2000,1.0004616952537,"mu1[127]","sig"
"336",2.01475950934626,0.00415988043279533,0.180558937907397,1.63397951783564,1.89425221462681,2.03078031611376,2.14477723126036,2.32284989787309,1883.97999566603,1.00337313406581,"mu1[128]","sig"
"337",2.79504945455022,0.00225747846005441,0.0931813479522592,2.59020408584371,2.73834897969156,2.80482686327843,2.85869265337745,2.95537303272531,1703.7691370728,1.00043684627739,"mu1[129]","sig"
"338",2.84223206319459,0.00204319799162678,0.0913745920153704,2.64402659102745,2.78367458103229,2.84341324220178,2.90525197553257,3.0164037429382,2000,1.00003159241124,"mu1[130]","sig"
"339",2.56706170610469,0.00204288890489949,0.0913607692367072,2.3467474905057,2.51844851881205,2.57893862547658,2.6277754174399,2.7182334916658,2000,0.999457237291011,"mu1[131]","sig"
"340",2.28848405945427,0.00290382368755022,0.118834925506394,2.01778218951453,2.21702362019081,2.30366409505507,2.37527867544302,2.4836575809627,1674.74121866291,1.00108956319924,"mu1[132]","sig"
"341",1.93801747043866,0.00499787598851042,0.214146490695122,1.49782850583697,1.79572112960232,1.94446632662895,2.08798257897151,2.33274546401194,1835.90824386047,1.0056818863767,"mu1[133]","sig"
