"sp","site","strata","SLA_LEAF","SLA_DISC","LIFETIME","Amass","Rmass","Amax","N_PCT","P_PCT","LT","LAMTUF","MDRBTUF","VEINTUF","LMA_LEAF","LMA","LL","Aarea","Aarea_DISC","Rarea","Rarea_DISC","sp_site_strata","Narea","Parea","LD","SampleID","Run","BagNo","%NPE","%WS","%AS","Lig","%Ash","%NDF","ADF","site2","cell_mass","cell_area","cell_vol","site_strata","p_mid","LMAp","LMAs","p_rand","LMAp_rand","LMAs_rand","LL_rand","Aarea_rand","Rarea_rand","preLL","preLL_rand"
"BONM","PNM","CAN",178.5772418,174.8646688,179,138.1741408,25.09010247,7.7375,2.771,0.18248,0.16,0.3353,2.2009,2.1801,55.9981770308651,57.1870811217869,5.88493150684932,7.73749999760608,7.90177579886281,1.40499999983761,1.43482972530584,"BONM_DRY_CAN",0.155170948552527,0.0102185473445923,0.357419257011168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRY",NA,NA,NA,"DRY_CAN",0.659405451004741,37.7094730187566,19.4776081030303,0.306066620274447,10.948156498846,46.2389246229409,1.97260273972603,12.0999999946499,0.0510999999813914,5.53489482191521,4.72741899840434
"BROU","PNSL","CAN",69.07996146,78.46942293,324,97.05734586,9.256714836,14.05,1.323,0.09005,0.3025,1.71015,7.914375,9.55935,144.759779661869,127.438174343663,10.6520547945205,14.0500000012594,12.3688109630399,1.34000000005211,1.17965883911974,"BROU_WET_CAN",0.191517188492653,0.0130356181585513,0.421283220970788,NA,1,18,52.17,7.63,19.23,20.81,0.17,47.83,40.2,"WET",19.39,24.7102620052363,0.0816868165462358,"WET_CAN",0.671797661827208,85.6126675516008,41.8255067920622,0.695718372496609,67.180314653296,60.257859690367,7.06849315068493,2.54666666655066,0.119449999965521,12.3953113807996,23.053859733747
"BROU","PNSL","UNDER",195.0328283,236.4304775,1304,89.94263931,9.380103876,4.611666667,1.384,0.11433,0.24375,0.3408,3.8958,NA,51.2734193887502,42.2957315221765,42.8712328767123,4.61166666627272,3.80418972465172,0.480949999944189,0.396738355189424,"BROU_WET_UNDER",0.0709624124340302,0.00586209003871581,0.17352094983457,NA,1,17,51.96,7.98,22.48,17.42,0.16,48.04,40.06,"WET",22.64,9.57575361662077,0.0392851430425467,"WET_UNDER",0.259786544356232,10.9878619331652,31.3078695890113,0.881667790381944,84.9241685131038,-42.6284369909273,7.0027397260274,3.1383333338844,1.49444444491314,21.4708913220178,17.7217756037379
"CAL2","PNSL","CAN",42.94119843,52.4750473,502,57.21914691,2.973677991,13.325,1.01,0.04967,0.44375,1.864875,5.90885,NA,232.876593239505,190.566764863116,16.5041095890411,13.3250000004716,10.9040677148661,0.692499999935377,0.566684194489521,"CAL2_WET_CAN",0.235205359171901,0.0115669803862062,0.429446230677445,NA,1,20,52.79,3.47,20.55,23.2,0,47.21,43.75,"WET",20.55,39.1614701793704,0.0882512004042149,"WET_CAN",0.411839781776732,78.4829748551236,112.083790007992,0.531890261260081,61.9607623384348,128.606002524681,12.2301369863014,9.36250000139688,0.707499999933473,24.7475939828026,17.821207349278
"CAL2","PNSL","UNDER",157.8754266,211.9113089,1050,49.54657139,5.738771758,3.138333333,1.101,0.05415,0.285,0.66905,3.663575,NA,63.341079833383,47.1895532706985,34.5205479452055,3.1383333338844,2.33808056998887,0.363500000069042,0.270810075582521,"CAL2_WET_UNDER",0.0697385288965547,0.00342991947297769,0.165577379897188,NA,1,19,51.49,3.43,25.11,19.93,0.05,48.51,45.08,"WET",25.15,11.8681726475807,0.0416427110441427,"WET_UNDER",0.166869197296772,7.87448287507472,39.3150703956238,0.651570396756106,91.6595741271403,-44.4700208564418,11.013698630137,4.30499999989553,0.282399999938372,31.532816425983,28.2463391000373
"CARG","PNSL","CAN",72.46290136,77.87988892,690,29.36559077,5.644860016,4.0525,1.457,0.10551,0.2875,0.6463,5.7371,4.77025,138.00165066976,128.40285391614,22.6849315068493,4.05249999915267,3.77062566180147,0.779000000007728,0.72481613601151,"CARG_WET_CAN",0.20106840502584,0.0145605541621664,0.44661862231701,NA,1,21,68.82,3.27,12.47,15.08,0.36,31.18,27.91,"WET",12.83,16.4740861574408,0.0573011692432724,"WET_CAN",0.218946105645271,28.1133048186775,100.289549097462,0.560324690953648,47.9614495130484,80.4414044030916,5.88493150684932,14.0500000012594,0.823499999886931,37.5426835604531,10.2825005854078
"CAS3","PNSL","CAN",80.97704677,85.84307894,272,124.2997668,3.769481527,15.35,2.043,0.10515,0.3375,0.45555,3.971275,3.289225,123.491784386792,116.491627787367,8.94246575342466,15.3500000009941,14.4798821681221,0.465499999982279,0.439113038994638,"CAS3_WET_CAN",0.252293715502216,0.0129851611282712,0.345160378629234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,"WET_CAN",0.48059300191174,55.9850610959158,60.5065666914512,0.303363890918665,34.9496476113871,81.5419801759799,44.9753424657534,20.0000000099661,1.74999999938951,13.1970885238805,14.8847406630011
"CAS4","PNM","CAN",115.6205288,116.8281394,180,197.1330016,10.49256299,17.05,2.41,0.17116,0.35,0.5128,3.3586,3.2511,86.4898310342272,85.5958166530554,5.91780821917808,17.049999999654,16.8737602612201,0.907500000121086,0.898119497912675,"CAS4_DRY_CAN",0.208440492792488,0.0148035994798183,0.244559476151587,NA,1,22,53.48,12.5,16.81,15.79,1.41,46.52,34.01,"DRY",18.22,15.5955577941867,0.0445587365548191,"DRY_CAN",0.620750624840158,53.1336566710877,32.4621599819677,0.694604293983335,85.376729915686,0.219086737369409,4.14246575342466,15.8750000047219,1.2804999997434,5.51007911332999,10.0411123342826
"CAS4","PNM","UNDER",527.4770174,640.6920992,129,201.7599591,13.92539326,3.825,2.712,0.2109,0.28,0.1869,1.7105,1.3536,18.9581719584509,15.608121299586,4.24109589041096,3.82499999894782,3.14909391503231,0.264000000012133,0.217349227146518,"CAS4_DRY_UNDER",0.0514145623513189,0.0039982784660373,0.0557432903556644,NA,1,23,51.27,10.96,25.98,9.78,2.01,48.73,37.77,"DRY",27.99,4.36871315175413,0.0156025469705505,"DRY_UNDER",0.389475903281164,6.07898714167824,9.52913415790776,0.758169060892002,57.0441267088012,-41.4360054092152,10.027397260274,3.61166666626368,1.65000000016958,5.08128485457725,15.3200674075969
"CAYG","PNSL","CAN",85.99670123,104.0807135,525,70.60329171,15.04942271,8.21,2.284,0.14497,0.24,0.7212,3.4757,5.8828,116.283530146753,96.0792798562051,17.2602739726027,8.21000000001977,6.78351342297437,1.74999999938951,1.44593769622842,"CAYG_WET_CAN",0.265591582855183,0.0168576233653748,0.400330332734188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,"WET_CAN",0.581363564588853,55.8569926203333,40.2222872358718,0.786264369352977,57.7242282843575,38.3550515718476,4.17534246575342,7.73749999760608,1.35000000028785,14.7528394088654,8.97920046759116
"CECI","PNSL","CAN",81.72130224,123.4032786,231,119.108798,4.02068807,14.575,2.177,0.1177,0.28375,0.576275,4.350825,2.66885,122.367115132746,81.0351241348623,7.59452054794521,14.574999998189,9.65199623148424,0.491999999974548,0.32581695686001,"CECI_WET_CAN",0.266393209643988,0.0144026094511242,0.285586340563391,NA,2,25,59.64,6.97,17.17,15.48,0.74,40.36,33.39,"WET",17.91,14.5133907325538,0.0511485135949034,"WET_CAN",0.522886072640036,42.372137804776,38.6629863300863,0.399714303725917,16.37557620704,64.6595479278223,6.54246575342466,17.4999999980383,0.802500000389965,9.05954779232317,5.14540450983741
"CECL","PNM","CAN",113.6589317,110.2346096,89,233.7111783,21.25422023,20.5625,2.728,0.19725,NA,NA,NA,NA,87.982526761687,90.7156113337385,2.92602739726027,20.5624999992851,21.2012524150129,1.87000000018476,1.92808958158636,"CECL_DRY_CAN",0.240016333005882,0.0173545534037428,NA,NA,2,26,56.61,17.84,11.6,10.92,3.03,43.39,25.54,"DRY",14.62,13.2626223769926,NA,"DRY_CAN",0.854374272843091,77.5050844687793,13.2105268649592,0.0772665895507581,6.26130767572313,84.4543036580154,9.36986301369863,27.3000000009962,0.067050000003907,3.37039833765995,8.12675447838259
"CECP","PNM","CAN",137.9364469,146.3030198,114,248.9752867,11.78896833,18.05,2.984,0.16539,NA,NA,NA,NA,72.4971552098171,68.3512890825511,3.74794520547945,18.0500000032986,17.0177817956427,0.854666666783629,0.80579118230887,"CECP_DRY_CAN",0.216331511146094,0.0119903045001517,NA,NA,2,27,62.51,9.95,12.51,14.23,0.8,37.49,27.54,"DRY",13.31,9.09755657688755,NA,"DRY_CAN",0.693175491009193,47.3794383709086,20.9718507116425,0.663252642202228,31.2985958911336,37.0526931914175,8.35068493150685,4.38666666594295,1.28499999992509,3.85963634707246,8.72371173689209
"CES1","PNSL","CAN",112.2480727,136.8363064,309,171.458931,13.35752065,15.275,1.59,0.09786,0.21,1.978375,12.7547,5.811775,89.0883893100465,73.0800199383341,10.158904109589,15.2749999956124,12.5302220960855,1.18999999988419,0.97616787542871,"CES1_WET_CAN",0.141650539002974,0.00871818977788115,0.348000094944448,NA,2,29,50.73,4.96,23.79,20.42,0.1,49.27,44.31,"WET",23.89,17.458816763268,0.0831372226822287,"WET_CAN",0.609670215479405,44.5547115030434,28.5253084352907,0.437728320010601,27.8963088677891,45.183711070545,7.98904109589041,18.0500000032986,1.09950000017535,7.35812814656002,7.68199509800088
"CES1","PNSL","UNDER",180.3529412,225.7777778,971,38.48571451,0.913487647,2.133911111,1.189,0.07503,NA,NA,NA,NA,55.4468362615203,44.2913385783178,31.9232876712329,2.13391111084359,1.70458381179089,0.0506499999901305,0.0404595906603878,"CES1_WET_UNDER",0.0659262883149476,0.00416017612470187,NA,NA,2,28,37.46,5.31,31.29,25.83,0.11,62.54,57.24,"WET",31.41,13.9119094474496,NA,"WET_UNDER",0.0188712388126019,0.835832427641241,43.4555061506766,0.370201435334792,29.9454748513427,14.3458637269751,27.7479452054795,11.6416666657221,0.716000000024065,32.9599566121171,13.0610127331684
"CHRC","PNM","CAN",73.0393627,81.35756601,152.5,82.89967666,3.794394892,11.35,1.702,0.10115,0.31,1.0472,4.1958,5.38985,136.912476099685,122.914198278386,5.01369863013699,11.3499999993839,10.1895472942013,0.519499999963718,0.466385006101782,"CHRC_DRY_CAN",0.233025034321664,0.0138486969574832,0.396497413801244,NA,2,30,55.41,6.62,13.8,24.04,0.13,44.59,37.96,"DRY",13.92,17.1096564003513,0.0551924400011332,"DRY_CAN",0.545890062626063,67.0976393958205,55.8165588825655,0.273392151056328,18.5853124090622,104.328885869324,7.92328767123288,18.5000000035931,0.302499999901658,10.5494002487896,7.51615273658344
"CHRC","PNM","UNDER",177.7428065,213.9304232,365,139.4984793,6.48583501,7.848333333,1.894,0.13376,0.2,0.7403,3.7549,5.252,56.2610673079476,46.7441696717029,12,7.84833333325363,6.52074058534373,0.364900000045853,0.303174972170111,"CHRC_DRY_UNDER",0.106558461481253,0.00752548036311107,0.233720848358514,NA,2,31,53.69,12.26,15.83,16.95,1.26,46.31,34.05,"DRY",17.1,7.99325301386119,0.0399662650693059,"DRY_UNDER",0.342805617237443,16.0241639365599,30.720005735143,0.447907518408003,51.6450816553671,-4.90091198366418,6.24657534246575,13.3250000004716,0.363500000069042,10.5945270930023,13.4238592880114
"CLU?","PNSL","CAN",58.06658191,66.49771501,421,66.66043603,7.461555775,11.48,1.021,0.0661,0.41625,0.518875,5.061125,NA,172.21609523184,150.381107057531,13.841095890411,11.4799999995385,10.0244701671291,1.28499999992509,1.12207701781601,"CLU?_WET_CAN",0.175832633231709,0.0113834838948246,0.361275932870946,NA,2,32,70.03,11.28,10.9,7.68,0.11,29.97,18.69,"WET",11.01,16.5569598870342,0.0397764802090911,"WET_CAN",0.613994646238475,92.3331946287389,58.0479124287921,0.911459594889339,95.0457437036981,55.3353633538329,3.02465753424658,3.76499999996821,0.684500000254633,17.8455783632516,11.8881297438445
"COCP","PNSL","CAN",108.4053756,126.3764562,445,139.8429345,11.66441841,12.9,2.097,0.09513,0.155,0.6929,3.674975,4.890425,92.2463479753858,79.1286628909286,14.6301369863014,12.8999999977861,11.0655844217287,1.07599999957936,0.922989832183631,"COCP_WET_CAN",0.193440591704384,0.00877539508289845,0.51050750252212,NA,2,33,55.41,8.25,16.95,19.27,0.12,44.59,36.34,"WET",17.07,13.5072627554815,0.0871436306805259,"WET_CAN",0.530066450363276,41.9434494605868,37.1852134303418,0.237034175225149,39.4981368490885,39.6305260418401,31.0684931506849,9.40250000019258,0.0807999999989506,9.55329850895605,30.8451600834463
"COMF","PNM","CAN",124.4205919,143.3056316,154,197.5176897,23.63991246,15.875,2.356,0.15729,NA,NA,NA,NA,80.3725480428292,69.7809282744196,5.06301369863014,15.8750000047219,13.7829677378848,1.89999999991963,1.64961503578482,"COMF_DRY_CAN",0.189357723188906,0.0126417980816566,NA,NA,2,34,63.28,13.56,9.92,11.22,2.02,36.72,23.15,"DRY",11.93,8.32486474313826,NA,"DRY_CAN",0.734569173012554,51.2589187745887,18.5220094998309,0.418638011818824,13.2186786510963,56.5622496233233,16.5041095890411,8.21000000001977,1.07599999957936,4.0565944973128,5.01281368454604
"CORA","PNM","CAN",105.7057487,118.2462252,175,222.510601,7.616099192,21.05,2.566,0.15607,0.243333,0.7111,2.076033333,3.137766667,94.6022342491577,84.5692958323713,5.75342465753425,21.0499999987229,18.8175648418077,0.720499999826405,0.644088145656932,"CORA_DRY_CAN",0.242749333083339,0.014764570699266,0.347545527455673,NA,2,35,54.85,14.84,17.36,12.08,0.87,45.15,30.31,"DRY",18.23,15.4169826302413,0.0633575496551692,"DRY_CAN",0.598189808498966,50.5884908788586,33.9808049535127,0.562056758995063,27.4092330277749,57.1600628045964,3.74794520547945,12.8999999972954,0.910500000036391,4.99623597253409,5.25159306987836
