LMA,looic,lp,N,div
GL_Aps_LLps,713.8644563614009,-619.7879715131447,198,OK
GL_Aps_LLs,716.2744451732173,-624.9495760509885,198,OK
GL_Ap_LLs,746.0863581795859,-661.9247210961303,198,OK
GL_Aps_LLps2,746.6593056338093,-666.4393324957077,198,OK
GL_Ap_LLps,753.7381184152413,-664.6574341202182,198,OK
GL_LMA,766.5207771605977,-778.9047506774713,198,OK
