"sp","DE","GF","BIOME","LL","LMA","Aarea","Rarea","LMAp1","LMAs1","LMAp4","LMAs4","LMA_ra","LMAp1_ra","LMAs1_ra","LMA_all","LMAp1_all","LMAs1_all","LL_all","Rarea_all","Aarea_all","LMAp4_all","LMAs4_all","LMAp4_ra","LMAs4_ra","Narea","Parea"
"Abies lasiocarpa","E","T","TEMP_FOR",95.4992586021436,257.039578276886,2.95120922666639,0.870963589956081,21.3859504497481,235.653627827138,27.2108406109211,229.828737665965,120.226443461741,12.2493166737533,107.977126787988,309.029543251359,73.0668011730679,235.962742078291,52.4807460249773,0.645654229034656,12.0226443461741,172.303862931632,136.725680319727,12.2493166737533,107.977126787988,2.61818300821899,NA
"Acacia colletioides","E","S","WLAND",37.1535229097173,363.078054770101,8.51138038202377,1.99526231496888,76.3467600234249,286.731294746676,125.768457016967,237.309597753134,115.681928269994,44.1992224963758,71.4827057736181,204.173794466953,48.7370628304956,155.436731636457,39.8107170553497,1.17489755493953,7.58577575029184,107.610943455697,96.5628510112557,44.1992224963758,71.4827057736181,4.1209751909733,0.110662378397767
"Acacia doratoxylon","E","S","WLAND",19.9526231496888,218.776162394955,14.4543977074593,1.47910838816821,99.9010459133301,118.875116481625,98.6022814275467,120.173880967409,125.892541179417,64.8246235571695,61.0679176222473,91.201083935591,23.3359374896136,67.8651464459774,22.3872113856834,0.91201083935591,3.89045144994281,45.9892043066728,45.2118796289181,64.8246235571695,61.0679176222473,4.38530697774986,0.181551566277314
"Acacia floribunda","E","T","TEMP_FOR",13.4896288259165,125.892541179417,10.9647819614319,1.25892541179417,60.3496198006859,65.5429213787309,52.1283746010738,73.7641665783429,309.029543251359,122.189162049568,186.840381201791,363.078054770101,132.400756974242,230.67729779586,22.3872113856834,1.34896288259165,12.8372911252395,203.014631475081,160.063423295021,122.189162049568,186.840381201791,2.89734358770132,0.0716143410212902
"Acacia havilandiorum","E","S","WLAND",20.8929613085404,416.869383470335,12.0226443461741,3.23593656929628,145.926563569983,270.942819900353,206.379319730758,210.490063739577,30.9029543251359,23.2313822164427,7.67157210869316,79.4328234724281,69.3218580119507,10.1109654604775,4.57088189614875,1.09647819614319,18.1970085860998,39.0218469054994,40.4109765669287,23.2313822164427,7.67157210869316,3.82824743316823,0.120781383510678
"Acacia oswaldii","E","S","WLAND",20.8929613085404,263.026799189538,13.1825673855641,1.41253754462275,108.330618579638,154.6961806099,130.975453099748,132.05134608979,158.489319246111,71.5292445379571,86.9600747081543,676.082975391982,98.5600042961994,577.522971095783,33.1131121482591,1.41253754462275,6.16595001861482,343.758674051898,332.324301340084,71.5292445379571,86.9600747081543,4.85288500162121,0.177010895831742
"Acacia suaveolens","E","S","WLAND",29.5120922666639,218.776162394955,9.54992586021436,1.44543977074593,67.5616213957029,151.214540999252,72.9230023684599,145.853160026495,67.6082975391982,30.7562195494157,36.8520779897825,128.824955169313,95.2716550459549,33.5533001233585,3.46736850452532,2.69153480392692,7.76247116628692,66.7744098702409,62.0505452990724,30.7562195494157,36.8520779897825,4.21696503428582,0.0485288500162121
"Acacia willhelmiana","E","S","WLAND",12.0226443461741,162.181009735893,8.12830516164099,1.81970085860998,68.7324736477395,93.4485360881535,72.9911450944433,89.1898646414496,109.647819614319,61.7465634731845,47.901256141134,275.422870333817,144.59124658534,130.831623748476,16.5958690743756,0.676082975391982,18.1970085860998,143.470202035539,131.952668298278,61.7465634731845,47.901256141134,3.03389118419427,0.116949939101987
"Acer rubrum","D","T","TEMP_FOR",5.37174167053699,61.6758465277276,7.10950672831674,0.767819238012599,34.8244389201216,26.851407607606,35.4546571884542,26.2211893392733,309.029543251359,128.909688631344,180.119854620015,204.173794466953,104.077947796249,100.095846670704,19.4984459975805,1.73780082874938,14.7910838816821,98.9937345144712,105.180059952482,128.909688631344,180.119854620015,NA,NA
"Acer saccharum","D","T","TEMP_FOR",5.49540873857625,79.4328234724281,7.58577575029184,0.562341325190349,46.8644102659989,32.5684132064293,60.1012396597983,19.3315838126298,234.422881531992,98.028353121553,136.394528410439,77.6247116628692,39.4383142617359,38.1863974011333,10.9647819614319,1.34896288259165,6.16595001861482,40.9122664279677,36.7124452349015,98.028353121553,136.394528410439,NA,NA
"Achillea millefolium","U","H","TEMP_FOR",1,85.1138038202376,13.8038426460288,1.25892541179417,78.4134714997087,6.7003323205289,80.6496394501834,4.46416437005423,199.526231496888,176.500432383091,23.0257991137964,77.6247116628692,73.1809935752886,4.44371808758058,1,3.09029543251359,10.1325594562952,37.6817980966556,39.9429135662136,176.500432383091,23.0257991137964,1.58802248227812,NA
"Acomastylis rosii","U","H","TEMP_FOR",1.99526231496888,83.1763771102671,10.7151930523761,1.73780082874938,67.3430964987044,15.8332806115627,70.7720982566911,12.404278853576,83.1763771102671,73.1951847209094,9.98119238935766,58.8843655355589,32.5474648920805,26.3369006434784,16.2181009735893,0.891250938133746,9.1201083935591,26.2694898148508,32.614875720708,73.1951847209094,9.98119238935766,2.09893988362352,NA
"Adenanthos cygnorum","E","S","WLAND",39.8107170553497,234.422881531992,13.8038426460288,1.02329299228075,81.3595530171951,153.063328514797,84.5948313782249,149.828050153767,158.489319246111,50.8314204156561,107.657898830455,95.4992586021436,34.0129732647485,61.4862853373951,38.0189396320561,1.77827941003892,8.12830516164099,52.1328163635768,43.3664422385668,50.8314204156561,107.657898830455,1.83231442237121,NA
"Aextoxicon punctatum","E","T","TEMP_FOR",43.6515832240166,134.896288259165,5.62341325190349,0.501187233627272,32.4191339497851,102.47715430938,24.5135091490769,110.382779110088,213.796208950223,28.8394387230219,184.956770227201,122.272053936742,57.3772524660993,64.8948014706426,31.6227766016838,1.58489319246111,13.4896288259165,64.7480511118856,57.5240028248564,28.8394387230219,184.956770227201,1.27166556705977,NA
"Agropyron repens","U","G","TEMP_FOR",1.86653157185913,58.3067937859553,16.6283625282055,0.861050814079229,48.6092197661189,9.6975740198364,49.4101865480455,8.89660723790983,21.3796208950223,19.9792067404518,1.40041415457054,167.891527994965,65.8018277809767,102.089700213989,33.8844156139203,1,13.1825673855641,79.616258137996,88.2752698569693,19.9792067404518,1.40041415457054,1.28401836700324,NA
"Ambrosia artemisiifolia","U","H","TEMP_FOR",1.47910838816821,77.6247116628692,27.5422870333817,1.54881661891248,69.2979733290278,8.32673833384138,65.8708186018915,11.7538930609777,81.2830516164099,77.0854040762054,4.19764754020456,186.208713666287,64.9815205359525,121.227193130334,12.5892541179417,2.69153480392692,4.07380277804113,85.6026761701696,100.606037496117,77.0854040762054,4.19764754020456,1.99067333898719,NA
"Anacardium excelsum","E","T","TROP_RF",8.51138038202377,83.1763771102671,10.471285480509,2.18776162394955,44.9380524620223,38.2383246482448,33.4233515455759,49.7530255646912,69.1830970918937,51.1145743282009,18.0685227636928,36.3078054770101,32.7764784610896,3.53132701592054,3.01995172040202,1.25892541179417,11.7489755493953,17.668899075738,18.6389064012721,51.1145743282009,18.0685227636928,NA,NA
"Andersonia heterophylla","E","S","WLAND",10.7151930523761,257.039578276886,8.51138038202377,3.09029543251359,113.739401869594,143.300176407293,146.366223241434,110.673355035452,331.131121482591,177.4076103648,153.723511117791,158.489319246111,101.391522367078,57.0977968790332,14.1253754462275,0.870963589956081,18.6208713666287,83.4228452091315,75.0664740369799,177.4076103648,153.723511117791,2.43220400907382,NA
"Andropogon gerardi","U","G","TEMP_FOR",1.69941645950975,73.3508020162128,21.9832449870616,0.881574438779143,64.7500658228158,8.60073619339704,64.7998860537921,8.55091596242079,73.3508020162128,66.5424070273173,6.80839498889556,323.593656929628,192.994437009681,130.599219919947,13.4896288259165,1.81970085860998,19.9526231496888,155.066276721308,168.52738020832,66.5424070273173,6.80839498889556,1.03814848989745,NA
"Anemone cylindrica","U","H","TEMP_FOR",2.08929613085404,93.3254300796991,15.4881661891248,1.38038426460288,79.4316764368147,13.8937536428844,81.3660300760165,11.9594000036826,257.039578276886,206.683073228217,50.3565050486694,457.088189614875,165.289676556085,291.798513058791,43.6515832240166,1.73780082874938,20.8929613085404,227.786375722273,229.301813892602,206.683073228217,50.3565050486694,1.36183926611872,NA
"Antirrhoea trichantha","D","T","TROP_RF",5.75439937337157,93.3254300796991,19.4984459975805,1.69824365246174,65.6839240014005,27.6415060782986,50.9889877469579,42.3364423327412,186.208713666287,138.697174953824,47.5115387124631,114.815362149688,74.7502016641857,40.0651604855026,6.30957344480193,1.90546071796325,8.51138038202377,62.923544364416,51.8918177852723,138.697174953824,47.5115387124631,1.92309172891016,NA
"Arctostaphylos uva-ursi","E","S","TEMP_FOR",18.1970085860998,128.824955169313,4.36515832240166,0.676082975391982,32.7323322552667,96.0926229140466,24.4708355725032,104.35411959681,323.593656929628,57.1085801163927,266.485076813235,133.360981057403,105.335659791192,28.0253212662108,1.99526231496888,1.02329299228075,8.7096358995608,58.7998694160367,74.5611116413663,57.1085801163927,266.485076813235,1.89939897680193,NA
"Asclepias syriaca","U","H","TEMP_FOR",1.41253754462275,63.0957344480193,18.1970085860998,1.51356124843621,54.5787326492182,8.5170017988011,53.6736012375835,9.42213321043581,194.984459975805,173.729149905577,21.2553100702279,81.2830516164099,66.7299896249398,14.5530619914701,7.07945784384138,0.596649334835271,19.4984459975805,44.0392790241682,37.2437725922417,173.729149905577,21.2553100702279,NA,NA
"Astroloma xerophyllum","E","S","WLAND",8.7096358995608,223.872113856834,9.77237220955811,1.58489319246111,121.660008750326,102.212105106508,169.47337470072,54.3987391561138,123.026877081238,75.4111980351884,47.6156790460497,234.422881531992,108.756528555245,125.666352976747,37.1535229097173,1.09647819614319,21.3796208950223,138.496813806936,95.9260677250558,75.4111980351884,47.6156790460497,2.18776162394955,NA
