"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","para","sig"
"476",-0.417191394399911,0.00654303293556306,0.236960560291786,-0.889843394417318,-0.565348159850951,-0.415745002183218,-0.258328735279236,0.0483684268996731,1311.57739593918,1.00034048103216,"mu3[75]","nonsig"
"477",-0.0885683981418786,0.00527328416668186,0.333511774320354,-0.80738193318238,-0.311036182670695,-0.062175710096799,0.156183049907477,0.478811362844552,4000,1.0000254763945,"mu3[76]","nonsig"
"478",-0.13950547865447,0.00395016104080129,0.249830120267868,-0.665712500591132,-0.291629149942605,-0.122388979989727,0.02602022257384,0.333913951619563,4000,1.00122673111333,"mu3[77]","nonsig"
"479",0.00390562750398014,0.00414853971624361,0.262376689339969,-0.560823994376672,-0.156165743088937,0.0200231262352838,0.173074606523033,0.478353580705606,4000,0.999845292624174,"mu3[78]","nonsig"
"480",-0.666149992952344,0.0166766115213619,0.41592791459659,-1.53214055994309,-0.944681937572187,-0.639161726385219,-0.351382489336206,0.0351178634762754,622.043151583058,1.00499946856341,"mu3[79]","nonsig"
"481",-0.116890489413075,0.00498385265303765,0.315206518125438,-0.797672896764015,-0.314862818809509,-0.0922977393231133,0.105870995709384,0.418182702785087,4000,0.999586811976015,"mu3[80]","nonsig"
"482",-0.143155023314177,0.00496007406566173,0.313702628212453,-0.803885748063752,-0.353170355288707,-0.121341930856786,0.085741360959296,0.394519635292621,4000,0.999406866412638,"mu3[81]","nonsig"
"483",-0.663744772089712,0.00452934445886684,0.286460895949641,-1.2832294958218,-0.841288646334558,-0.644993870187601,-0.463851184439559,-0.157944308169962,4000,1.00004840703668,"mu3[82]","sig"
"484",-0.103443021913444,0.00397661895459099,0.251503465662105,-0.644931516419094,-0.257101139214019,-0.0928924047719154,0.0617405972604863,0.352997065450059,4000,1.00012093784388,"mu3[83]","nonsig"
"485",-0.233295658619843,0.00394063462966636,0.249227617125596,-0.760768739614095,-0.381751146508486,-0.216516269780298,-0.0653490264845792,0.222379854130204,4000,0.999926307919193,"mu3[84]","nonsig"
"486",-0.663183218713378,0.011296375569231,0.347312168026649,-1.39153993358284,-0.895149813797069,-0.637396655307674,-0.404862639975499,-0.0754300511253895,945.282792495395,1.00179162529485,"mu3[85]","sig"
"487",-0.0773498598542132,0.0109551642940649,0.308009194859522,-0.690086001285291,-0.282870738758214,-0.0775399250375531,0.127758031200425,0.534758251248325,790.477609455313,1.00296127773515,"mu3[86]","nonsig"
"488",-1.06701356942658,0.00539291243640018,0.34107773041745,-1.77086646240237,-1.29198957041199,-1.05712716009642,-0.8236200796205,-0.439538024046325,4000,1.00010439842581,"mu3[87]","sig"
"489",-0.00253163606505836,0.00553253144075128,0.243844545667912,-0.526772226799436,-0.148833674049183,0.0078889000334206,0.158462640930248,0.436941175182561,1942.57730281338,1.00184672868635,"mu3[88]","nonsig"
"490",-0.427207661229792,0.00514778451057347,0.325574479142946,-1.11112502116268,-0.646235665255609,-0.405847083077008,-0.181337523766955,0.131168066768058,4000,1.00062727427166,"mu3[89]","nonsig"
"491",-0.916012186475688,0.016021835505352,0.413517274273596,-1.7843588138812,-1.20553536586711,-0.87512730076641,-0.597750934145561,-0.237767422942942,666.135802095113,1.00242440814901,"mu3[90]","sig"
"492",-2.3510215085594,0.00721991228427595,0.456627346498822,-3.23540902019077,-2.65467937869252,-2.35835964520348,-2.03725879315926,-1.47273255195082,4000,1.00108070321946,"mu3[91]","sig"
