Code,Dataset,BIOME,Species,GF,Decid.E.green,Needle.Broad.lf,C3C4,N2.fixer,log.LL,log.LMA,log.Nmass,log.Narea,log.Pmass,log.Parea,log.Amass,log.Aarea,log.Gs,log.Rdmass,log.Rdarea,Ca...Ci
1,Ackerly_Jasper,WLAND,Adenostoma fasciculatum,S,E,N,C3,N,1.26,2.45,0.069,0.546,-0.932,-0.478,1.69,1.15,2.35,NA,NA,82.4
2,Ackerly_Jasper,WLAND,Arbutus menziesii,S,E,B,C3,N,1.17,2.19,0.094,0.288,-0.923,-0.735,1.86,1.05,2.18,NA,NA,159
3,Ackerly_Jasper,WLAND,Arctostaphylos tomentosa,S,E,B,C3,N,1.35,2.15,0.014,0.171,-0.994,-0.849,1.88,1.02,2.2,NA,NA,138.3
4,Ackerly_Jasper,WLAND,Artemisia californica,S,D,B,C3,N,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Ackerly_Jasper,WLAND,Baccharis pilularis,S,E,B,C3,N,0.95,2.03,0.388,0.414,-0.824,-0.793,2.21,1.24,2.33,NA,NA,172.3
6,Ackerly_Jasper,WLAND,Ceanothus cuneatus,S,E,B,C3,Y,1.17,2.36,0.255,0.611,-0.962,-0.606,2,1.36,2.42,NA,NA,164.6
7,Ackerly_Jasper,WLAND,Ceanothus oliganthus,S,E,B,C3,Y,1.04,2.08,0.328,0.418,-0.826,-0.745,2.17,1.25,2.47,NA,NA,164.1
8,Ackerly_Jasper,WLAND,Cercocarpus betuloides,S,E,B,C3,Y,1.07,2.14,0.382,0.531,-0.692,-0.554,2.25,1.39,2.7,NA,NA,113.3
9,Ackerly_Jasper,WLAND,Clematis lasiantha,V,D,B,C3,N,NA,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Ackerly_Jasper,WLAND,Dirca occidentalis,S,D,B,C3,N,0.6,1.75,0.412,0.161,-0.761,-1.007,2.13,0.89,2.18,NA,NA,117.5
11,Ackerly_Jasper,WLAND,Eriodictyon californicum,S,E,B,C3,N,0.96,2.25,0.222,0.476,-0.805,-0.554,2.02,1.27,2.55,NA,NA,137.3
12,Ackerly_Jasper,WLAND,Heteromeles arbutifolia,S,E,B,C3,N,1.36,2.32,0.137,0.452,-0.879,-0.564,1.77,1.09,2.37,NA,NA,127.1
13,Ackerly_Jasper,WLAND,Holodiscus discolor,S,D,B,C3,N,0.66,1.89,0.288,0.193,-0.72,-0.826,2.21,1.1,2.55,NA,NA,88.9
14,Ackerly_Jasper,WLAND,Lepechinia calycina,S,D,B,C3,N,0.64,2,0.259,0.259,-0.922,-0.922,2.1,1.1,2.3,NA,NA,154.1
15,Ackerly_Jasper,WLAND,Lonicera hispidula,V,D,B,C3,N,NA,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Ackerly_Jasper,WLAND,Lotus scoparius,S,D,B,C3,Y,0.3,1.98,0.361,0.318,-0.803,-0.819,2.35,1.33,2.56,NA,NA,127.2
17,Ackerly_Jasper,WLAND,Mimulus aurantiacus,S,E,B,C3,N,0.88,2.05,0.063,0.127,-0.921,-0.872,2.09,1.17,2.42,NA,NA,116
18,Ackerly_Jasper,WLAND,Pickeringia montana,S,E,B,C3,Y,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Ackerly_Jasper,WLAND,Prunus iIlicifolia,S,E,B,C3,N,1.22,2.18,0.311,0.488,-0.847,-0.669,1.81,0.98,2.13,NA,NA,153
20,Ackerly_Jasper,WLAND,Quercus agrifolia,S,E,B,C3,N,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Ackerly_Jasper,WLAND,Quercus durata,S,E,B,C3,N,NA,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Ackerly_Jasper,WLAND,Rhamnus californica,S,E,B,C3,N,1.19,1.87,0.318,0.187,-0.689,-0.82,2.16,1.03,2.19,NA,NA,156.1
23,Ackerly_Jasper,WLAND,Rhamnus crocea,S,E,B,C3,N,1.13,2.1,0.328,0.444,-0.871,-0.771,2,1.1,2.28,NA,NA,126
24,Ackerly_Jasper,WLAND,Ribes californicum,S,D,B,C3,N,0.52,1.97,0.349,0.311,-0.875,-0.908,2.07,1.04,2.14,NA,NA,162.6
25,Ackerly_Jasper,WLAND,Ribes malvaceum,S,D,B,C3,N,NA,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Ackerly_Jasper,WLAND,Sambucus mexicana,S,D,B,C3,N,0.62,2,0.404,0.409,-0.748,-0.749,2.28,1.28,2.6,NA,NA,137.1
27,Ackerly_Jasper,WLAND,Solanum umbelliferum,S,D,B,C3,N,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Ackerly_Jasper,WLAND,Toxicodendron diversiloba,S,D,B,C3,N,0.62,1.9,0.296,0.2,-0.702,-0.801,2.22,1.12,2.33,NA,NA,149.7
29,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Cheirodendron tryginum,T,,,C3,N,NA,1.95,0.076,0.028,-1.046,-1.094,1.78,0.73,2.27,NA,NA,NA
30,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Chenopodium oahuense,S,E,,C3,N,NA,1.95,0.56,0.513,-0.553,-0.6,2.21,1.17,2.43,NA,NA,NA
31,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Comprosma ochracea,T,E,,C3,N,NA,1.9,0.111,0.007,-1.155,-1.258,2.11,1,2.33,NA,NA,NA
32,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,NA,2.49,-0.137,0.354,-2,-1.51,1.16,0.65,2.2,NA,NA,NA
33,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Myoporum sandwicensis,T,,,C3,N,NA,2.17,0.111,0.278,-0.796,-0.628,2,1.17,2.44,NA,NA,NA
34,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Myrsine lessertiana,T,,,C3,N,NA,2.19,-0.018,0.175,-1.398,-1.205,1.67,0.86,2.16,NA,NA,NA
35,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Pelea sp,T,,,C3,N,NA,1.82,0.114,-0.067,-1.523,-1.704,NA,NA,NA,NA,NA,NA
36,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Rhus sandwicensis,T,,,C3,N,NA,1.68,0.146,-0.171,-1.097,-1.414,2.53,1.22,2.63,NA,NA,NA
37,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Rubus hawaiiensis,S,E,,C3,N,NA,1.56,0.47,0.033,-0.658,-1.094,NA,NA,NA,NA,NA,NA
38,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Sophora chrysophylla,T,,,C3,Y,NA,2.06,0.461,0.521,-0.824,-0.764,1.83,0.89,2.12,NA,NA,NA
39,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Styphelia tameiameiae,S,E,,C3,N,NA,2.31,-0.086,0.227,-2,-1.687,NA,NA,NA,NA,NA,NA
40,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Vaccinium chalicinum,S,E,,C3,N,NA,1.73,0.299,0.027,-0.658,-0.93,1.98,0.71,2.12,NA,NA,NA
41,Baruch&Goldstein_Hawaii_High_Old,TEMP_RF,Vaccinium reticulatum,S,E,,C3,N,NA,2.23,-0.051,0.178,-2,-1.771,NA,NA,NA,NA,NA,NA
42,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Carex kauaiensis,G,,,C3,N,NA,2.18,-0.013,0.162,-1.301,-1.126,NA,NA,NA,NA,NA,NA
43,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Dodonaea viscosa,S,E,B,C3,N,NA,2.16,0.146,0.307,-0.854,-0.693,NA,NA,NA,NA,NA,NA
44,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Dubautia scabra,S,E,,C3,N,NA,1.82,-0.092,-0.267,-1.523,-1.698,NA,NA,NA,NA,NA,NA
45,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,NA,2.29,-0.066,0.224,-1.398,-1.108,1.69,0.98,2.62,NA,NA,NA
46,Baruch&Goldstein_Hawaii_High_Rec,TEMP_RF,Nephrolepsis sp,F,,,C3,N,NA,2.19,0.037,0.226,-0.886,-0.697,0.97,0.16,1.84,NA,NA,NA
47,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Dicranopteris linearis,F,,,C3,N,NA,1.92,0.037,-0.039,-1.398,-1.474,NA,NA,NA,NA,NA,NA
48,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Heteropogon contortus,G,,B,C4,N,NA,1.66,0.072,-0.273,-0.959,-1.303,NA,NA,NA,NA,NA,NA
49,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Meterosideros polymorpha gl,T,,,C3,N,NA,2.15,-0.066,0.086,-1.301,-1.149,NA,NA,NA,NA,NA,NA
50,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Meterosideros polymorpha pb,T,,,C3,N,NA,2.25,-0.06,0.188,-1.222,-0.974,1.79,1.04,2.51,NA,NA,NA
51,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Myrsine sandwicensis,S,E,,C3,N,NA,1.66,0.021,-0.316,-1.301,-1.638,NA,NA,NA,NA,NA,NA
52,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Nephrolepsis sp,F,,,C3,N,NA,1.68,0.045,-0.275,-0.959,-1.279,NA,NA,NA,NA,NA,NA
53,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Pipturus albidus,T,,,C3,N,NA,1.79,0.204,-0.004,-1.097,-1.305,2.36,1.15,2.41,NA,NA,NA
54,Baruch&Goldstein_Hawaii_Low_Old,TROP_RF,Psychotria sp,S,E,,C3,N,NA,1.85,0.117,-0.037,-1.097,-1.251,1.45,0.29,1.81,NA,NA,NA
57,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Brussaisia arguta,S,E,,C3,N,NA,1.86,0.127,-0.01,-1,-1.137,1.66,0.52,2.28,NA,NA,NA
58,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Cibotium glaucum,F,,,C3,N,NA,1.78,0.22,-0.001,-0.959,-1.18,NA,NA,NA,NA,NA,NA
59,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Clermontia montes-loa,S,E,,C3,N,NA,1.51,0.455,-0.036,-0.886,-1.377,1.67,0.18,2.33,NA,NA,NA
60,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Freycinetia arborea,H,,,C3,N,NA,1.78,0.281,0.066,-1,-1.215,1.59,0.37,NA,NA,NA,NA
61,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Ilex anomala,T,,,C3,N,NA,1.98,0.093,0.076,-1.398,-1.415,NA,NA,NA,NA,NA,NA
62,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Meterosideros polymorpha gl,T,,,C3,N,NA,2.04,0.045,0.084,-1.155,-1.116,1.48,0.52,2.51,NA,NA,NA
63,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,NA,2.31,-0.114,0.195,-1.699,-1.391,1.27,0.58,2.5,NA,NA,NA
64,Baruch&Goldstein_Hawaii_Med_Old,TEMP_RF,Peperomia sp,H,,,C3,N,NA,1.57,0.338,-0.091,-0.921,-1.35,NA,NA,NA,NA,NA,NA
65,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Comprosma ernodeoides,S,E,,C3,N,NA,1.91,-0.004,-0.099,-1.222,-1.317,NA,NA,NA,NA,NA,NA
66,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Comprosma ochracea,S,E,,C3,N,NA,1.6,0.243,-0.156,-1.155,-1.554,1.51,0.11,2.3,NA,NA,NA
67,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Dicranopteris linearis,F,,,C3,N,NA,2.04,-0.018,0.024,-1.301,-1.259,NA,NA,NA,NA,NA,NA
68,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Hedyotis centranthoides,S,E,,C3,N,NA,2.09,0.104,0.195,-1.398,-1.307,1.48,0.57,2.48,NA,NA,NA
69,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Machaerina mariscoides,G,,,C3,N,NA,2.35,-0.161,0.189,-1.699,-1.348,NA,NA,NA,NA,NA,NA
70,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Meterosideros polymorpha gl,T,,,C3,N,NA,2.2,-0.108,0.089,-1.398,-1.201,1.46,0.66,2.48,NA,NA,NA
71,Baruch&Goldstein_Hawaii_Med_Rec,TEMP_RF,Meterosideros polymorpha pb,T,,,C3,N,NA,2.56,-0.229,0.331,-1.699,-1.139,1.27,0.79,2.27,NA,NA,NA
72,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Betula papyrifera,T,D,B,C3,N,NA,2,0.402,0.398,NA,NA,2.29,1.29,NA,NA,NA,NA
73,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Prunus serotina,T,D,B,C3,N,NA,1.75,0.428,0.176,NA,NA,2.52,1.27,NA,NA,NA,NA
74,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Fraxinus americana,T,D,B,C3,N,NA,1.96,0.358,0.322,NA,NA,2,0.96,NA,NA,NA,NA
75,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Quercus rubra,T,D,B,C3,N,NA,2.04,0.406,0.447,NA,NA,2.33,1.37,NA,NA,NA,NA
76,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Quercus alba,T,D,B,C3,N,NA,2,0.527,0.531,NA,NA,2.36,1.36,NA,NA,NA,NA
77,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Castanea dentata,T,,B,C3,N,NA,1.76,0.413,0.176,NA,NA,2.34,1.1,NA,NA,NA,NA
78,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Ulmus americana,T,D,B,C3,N,NA,1.81,0.301,0.114,NA,NA,2.3,1.11,NA,NA,NA,NA
79,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer rubrum,T,D,B,C3,N,NA,2.02,0.234,0.255,NA,NA,2.09,1.11,NA,NA,NA,NA
80,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer saccharum,T,D,B,C3,N,NA,2.01,0.222,0.23,NA,NA,1.83,0.84,NA,NA,NA,NA
81,Bassow&Bazzaz_PETERSHAM__MA,TEMP_FOR,Acer pensylvanicum,T,D,B,C3,N,NA,1.77,0.405,0.176,NA,NA,2.23,1,NA,NA,NA,NA
85,Bongers_et_al_Los_Tuxtlas,TROP_RF,Acalypha skutchii,T,E,,,N,NA,1.41,0.412,-0.174,-0.672,-1.259,NA,NA,NA,NA,NA,NA
86,Bongers_et_al_Los_Tuxtlas,TROP_RF,Aegiphila costaricensis,T,D,,,N,NA,1.63,0.191,-0.175,-0.674,-1.039,NA,NA,NA,NA,NA,NA
89,Bongers_et_al_Los_Tuxtlas,TROP_RF,Allophylus camptostachys,T,E,,,N,NA,2.03,0.053,0.084,-0.892,-0.86,NA,NA,NA,NA,NA,NA
92,Bongers_et_al_Los_Tuxtlas,TROP_RF,Amphitecna tuxtlensis,T,E,,,N,NA,1.93,0.154,0.086,-0.954,-1.022,NA,NA,NA,NA,NA,NA
99,Bongers_et_al_Los_Tuxtlas,TROP_RF,Astrocaryum mexicanum,T,E,,,N,NA,1.87,0.222,0.096,-0.798,-0.925,NA,NA,NA,NA,NA,NA
100,Bongers_et_al_Los_Tuxtlas,TROP_RF,Bactris trichophylla,S,E,,,N,NA,1.74,0.187,-0.074,-0.969,-1.23,NA,NA,NA,NA,NA,NA
102,Bongers_et_al_Los_Tuxtlas,TROP_RF,Brosimum alicastrum,T,D,,,N,NA,1.8,0.329,0.132,-0.885,-1.082,NA,NA,NA,NA,NA,NA
104,Bongers_et_al_Los_Tuxtlas,TROP_RF,Bursera simaruba,T,D,B,C3,N,NA,1.93,0.18,0.109,-0.997,-1.068,NA,NA,NA,NA,NA,NA
109,Bongers_et_al_Los_Tuxtlas,TROP_RF,Capparis baducca,T,E,,,N,NA,1.75,0.213,-0.038,-0.999,-1.25,NA,NA,NA,NA,NA,NA
113,Bongers_et_al_Los_Tuxtlas,TROP_RF,Casearia sylvestris,T,E,,,N,NA,1.8,NA,NA,-1.074,-1.276,NA,NA,NA,NA,NA,NA
115,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cecropia obtusifolia,T,E,,,N,NA,1.89,0.344,0.238,-0.914,-1.02,NA,NA,NA,NA,NA,NA
120,Bongers_et_al_Los_Tuxtlas,TROP_RF,Chamaedorea alternans,T,E,,,N,NA,1.62,0.08,-0.299,-0.85,-1.23,NA,NA,NA,NA,NA,NA
124,Bongers_et_al_Los_Tuxtlas,TROP_RF,Chamaedorea pinnatifrons,T,E,,,N,NA,1.61,0.247,-0.141,-0.684,-1.072,NA,NA,NA,NA,NA,NA
133,Bongers_et_al_Los_Tuxtlas,TROP_RF,Clarisia biflora,T,E,,,N,NA,2.03,0.322,0.354,-0.944,-0.912,NA,NA,NA,NA,NA,NA
140,Bongers_et_al_Los_Tuxtlas,TROP_RF,Coccoloba hondurensis,T,E,,,N,NA,2.02,NA,NA,-1.032,-1.016,NA,NA,NA,NA,NA,NA
146,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cordia megalantha,T,D,,,N,NA,1.93,0.329,0.263,-0.864,-0.93,NA,NA,NA,NA,NA,NA
155,Bongers_et_al_Los_Tuxtlas,TROP_RF,Croton schiedeanus,T,E,,,N,NA,1.82,0.282,0.1,-0.814,-0.996,NA,NA,NA,NA,NA,NA
156,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cupania dentata,T,E,,,N,NA,2.06,0.177,0.237,-1.016,-0.955,NA,NA,NA,NA,NA,NA
158,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cymbopetalum baillonii,T,E,,,N,NA,2.04,0.119,0.162,-0.678,-0.635,NA,NA,NA,NA,NA,NA
159,Bongers_et_al_Los_Tuxtlas,TROP_RF,Cynometra retusa,T,E,,,Y,NA,2.11,0.072,0.178,-1.026,-0.921,NA,NA,NA,NA,NA,NA
165,Bongers_et_al_Los_Tuxtlas,TROP_RF,Dendropanax arboreus,T,E,,,N,NA,1.97,-0.048,-0.076,-0.859,-0.887,NA,NA,NA,NA,NA,NA
166,Bongers_et_al_Los_Tuxtlas,TROP_RF,Dialium guianense,T,D,,,Y,NA,1.92,0.227,0.148,-0.931,-1.01,NA,NA,NA,NA,NA,NA
173,Bongers_et_al_Los_Tuxtlas,TROP_RF,Dussia mexicana,T,D,,,Y,NA,1.92,0.2,0.115,-0.874,-0.958,NA,NA,NA,NA,NA,NA
175,Bongers_et_al_Los_Tuxtlas,TROP_RF,Erythrina folkersii,T,D,,,Y,NA,1.69,0.444,0.13,-0.82,-1.134,NA,NA,NA,NA,NA,NA
182,Bongers_et_al_Los_Tuxtlas,TROP_RF,Faramea occidentalis,T,E,,,N,NA,1.94,0.092,0.032,-1.083,-1.143,NA,NA,NA,NA,NA,NA
187,Bongers_et_al_Los_Tuxtlas,TROP_RF,Ficus tecolutensis,T,E,,,N,NA,2.12,NA,NA,-1.071,-0.951,NA,NA,NA,NA,NA,NA
188,Bongers_et_al_Los_Tuxtlas,TROP_RF,Ficus yoponensis,T,E,,,N,NA,2.02,0.237,0.256,-0.899,-0.88,NA,NA,NA,NA,NA,NA
193,Bongers_et_al_Los_Tuxtlas,TROP_RF,Guamia LT sp1,T,E,,,N,NA,1.66,0.24,-0.103,-0.911,-1.254,NA,NA,NA,NA,NA,NA
194,Bongers_et_al_Los_Tuxtlas,TROP_RF,Guarea glabra,T,E,,,N,NA,2.06,0.243,0.306,-0.977,-0.914,NA,NA,NA,NA,NA,NA
195,Bongers_et_al_Los_Tuxtlas,TROP_RF,Guarea grandifolia,T,E,,,N,NA,2,0.204,0.207,-0.743,-0.739,NA,NA,NA,NA,NA,NA
197,Bongers_et_al_Los_Tuxtlas,TROP_RF,Hampea nutricia,T,E,,,N,NA,1.79,0.323,0.11,-0.71,-0.924,NA,NA,NA,NA,NA,NA
200,Bongers_et_al_Los_Tuxtlas,TROP_RF,Heliocarpus appendiculatus,T,E,,,N,NA,1.71,0.326,0.04,-0.772,-1.058,NA,NA,NA,NA,NA,NA
212,Bongers_et_al_Los_Tuxtlas,TROP_RF,Inga quaternata,T,E,,,Y,NA,1.97,NA,NA,-1.012,-1.046,NA,NA,NA,NA,NA,NA
223,Bongers_et_al_Los_Tuxtlas,TROP_RF,Lonchocarpus guatemalensis,T,D,,,Y,NA,1.99,0.394,0.382,-0.95,-0.962,NA,NA,NA,NA,NA,NA
224,Bongers_et_al_Los_Tuxtlas,TROP_RF,Lunania mexicana,T,E,,,N,NA,1.74,0.176,-0.08,-0.809,-1.064,NA,NA,NA,NA,NA,NA
236,Bongers_et_al_Los_Tuxtlas,TROP_RF,Mortoniodendron guatemalense,T,E,,,N,NA,2,0.18,0.18,-1.063,-1.064,NA,NA,NA,NA,NA,NA
239,Bongers_et_al_Los_Tuxtlas,TROP_RF,Myriocarpa longipes,S,D,,,N,NA,1.73,0.16,-0.107,-0.939,-1.206,NA,NA,NA,NA,NA,NA
240,Bongers_et_al_Los_Tuxtlas,TROP_RF,Nectandra ambigens,T,E,,,N,NA,2.14,0.228,0.364,-0.985,-0.848,NA,NA,NA,NA,NA,NA
248,Bongers_et_al_Los_Tuxtlas,TROP_RF,Omphalea oleifera,T,D,,,N,NA,1.85,0.403,0.249,-0.636,-0.791,NA,NA,NA,NA,NA,NA
250,Bongers_et_al_Los_Tuxtlas,TROP_RF,Oreopanax obtusifolius,EP,E,,,N,NA,2.12,NA,NA,-1.113,-0.989,NA,NA,NA,NA,NA,NA
252,Bongers_et_al_Los_Tuxtlas,TROP_RF,Orthion oblanceolatum,T,E,,,N,NA,1.84,0.202,0.043,-0.745,-0.904,NA,NA,NA,NA,NA,NA
267,Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper amalago,T,E,B,C3,N,NA,1.82,0.327,0.144,-0.852,-1.036,NA,NA,NA,NA,NA,NA
268,Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper auritum,S,E,B,C3,N,NA,1.57,0.508,0.08,-0.664,-1.091,NA,NA,NA,NA,NA,NA
269,Bongers_et_al_Los_Tuxtlas,TROP_RF,Piper hispidum,S,E,B,C3,N,NA,1.81,0.362,0.173,-0.755,-0.944,NA,NA,NA,NA,NA,NA
273,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pleuranthodendron lindenii,T,E,,,N,NA,2,0.143,0.139,-0.913,-0.917,NA,NA,NA,NA,NA,NA
276,Bongers_et_al_Los_Tuxtlas,TROP_RF,Poulsenia armata,T,D,,,N,NA,2.07,0.223,0.297,-0.695,-0.621,NA,NA,NA,NA,NA,NA
278,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pouteria durlandii,T,E,,,N,NA,2.11,0.201,0.314,-1.158,-1.044,NA,NA,NA,NA,NA,NA
279,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pouteria rhynchocarpa,T,E,,,N,NA,1.96,0.029,-0.009,-1.149,-1.187,NA,NA,NA,NA,NA,NA
283,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pseudolmedia oxyphyllaria,T,E,,,N,NA,1.94,0.015,-0.049,-1.165,-1.229,NA,NA,NA,NA,NA,NA
286,Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria chiapensis,T,E,,,N,NA,1.73,0.253,-0.017,-0.984,-1.253,NA,NA,NA,NA,NA,NA
287,Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria faxlucens,T,E,,,N,NA,1.74,0.14,-0.117,-1.184,-1.441,NA,NA,NA,NA,NA,NA
288,Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria flava,T,E,,,N,NA,2.04,0.038,0.081,-1.16,-1.117,NA,NA,NA,NA,NA,NA
292,Bongers_et_al_Los_Tuxtlas,TROP_RF,Psychotria simiarum,T,E,,,N,NA,1.62,0.206,-0.169,-1.157,-1.533,NA,NA,NA,NA,NA,NA
293,Bongers_et_al_Los_Tuxtlas,TROP_RF,Pterocarpus rohrii,T,D,,,Y,NA,1.98,0.272,0.255,-0.761,-0.778,NA,NA,NA,NA,NA,NA
295,Bongers_et_al_Los_Tuxtlas,TROP_RF,Quararibea yunckeri,T,E,,,N,NA,1.77,0.129,-0.1,-0.795,-1.023,NA,NA,NA,NA,NA,NA
301,Bongers_et_al_Los_Tuxtlas,TROP_RF,Garcinia intermedia,T,E,,,N,NA,2.14,-0.123,0.016,-1.105,-0.967,NA,NA,NA,NA,NA,NA
304,Bongers_et_al_Los_Tuxtlas,TROP_RF,Robinsonella mirandae,T,E,,,N,NA,1.78,0.29,0.069,-0.743,-0.964,NA,NA,NA,NA,NA,NA
311,Bongers_et_al_Los_Tuxtlas,TROP_RF,Salacia megistophylla,V,E,,,N,NA,2.19,NA,NA,-0.914,-0.727,NA,NA,NA,NA,NA,NA
330,Bongers_et_al_Los_Tuxtlas,TROP_RF,Spondias radlkoferi,T,D,,,N,NA,1.86,0.152,0.012,-0.95,-1.09,NA,NA,NA,NA,NA,NA
331,Bongers_et_al_Los_Tuxtlas,TROP_RF,Stemmadenia donnell-smithii,T,E,,,N,NA,1.73,0.351,0.076,-0.921,-1.196,NA,NA,NA,NA,NA,NA
345,Bongers_et_al_Los_Tuxtlas,TROP_RF,Trema micrantha,T,E,,,N,NA,1.76,0.36,0.12,-0.821,-1.061,NA,NA,NA,NA,NA,NA
347,Bongers_et_al_Los_Tuxtlas,TROP_RF,Trichilia martiana,T,E,,,N,NA,1.79,0.336,0.122,-0.753,-0.967,NA,NA,NA,NA,NA,NA
349,Bongers_et_al_Los_Tuxtlas,TROP_RF,Trichospermum mexicanum,T,E,,,N,NA,1.98,0.257,0.238,-0.956,-0.975,NA,NA,NA,NA,NA,NA
352,Bongers_et_al_Los_Tuxtlas,TROP_RF,Trophis mexicana,T,E,,,N,NA,1.81,0.227,0.033,-0.943,-1.136,NA,NA,NA,NA,NA,NA
353,Bongers_et_al_Los_Tuxtlas,TROP_RF,Turpinia occidentalis,T,E,,,N,NA,1.91,0.048,-0.043,-1.121,-1.213,NA,NA,NA,NA,NA,NA
355,Bongers_et_al_Los_Tuxtlas,TROP_RF,Urera caracasana,S,E,B,,N,NA,1.76,0.452,0.207,-0.678,-0.923,NA,NA,NA,NA,NA,NA
357,Bongers_et_al_Los_Tuxtlas,TROP_RF,Urera elata,S,E,,,N,NA,1.6,0.137,-0.261,-0.985,-1.383,NA,NA,NA,NA,NA,NA
358,Bongers_et_al_Los_Tuxtlas,TROP_RF,Vatairea lundellii,T,E,,,Y,NA,1.93,0.191,0.124,-1.12,-1.188,NA,NA,NA,NA,NA,NA
360,Bongers_et_al_Los_Tuxtlas,TROP_RF,Vochysia guatemalensis,T,E,,,N,NA,2.05,0.025,0.076,-1.128,-1.077,NA,NA,NA,NA,NA,NA
364,Bongers_et_al_Los_Tuxtlas,TROP_RF,Zanthoxylum kellermanii,T,D,,,N,NA,1.82,0.319,0.136,-0.658,-0.84,NA,NA,NA,NA,NA,NA
365,Cavendar_Bares_Florida,TEMP_FOR,Quercus falcata,T,D,B,C3,N,0.92,2.12,0.167,0.291,NA,NA,2.08,1.22,NA,NA,NA,NA
366,Cavendar_Bares_Florida,TEMP_FOR,Quercus hemispherica,T,E,B,C3,N,0.96,2.13,0.083,0.217,NA,NA,1.97,1.1,NA,NA,NA,NA
